"site","threshold","core.prop","coreP","trans.prop","transP"
"d108_-48_142",0.333333333333333,0.0238095238095238,0.999000999000999,0.80952380952381,0.016983016983017
"d108_-48_144",0.333333333333333,0.0833333333333333,0.979020979020979,0.708333333333333,0.04995004995005
"d108_-48_152",0.333333333333333,0.0816326530612245,0.983016983016983,0.775510204081633,0.00599400599400599
"d108_-48_154",0.333333333333333,0.0625,0.999000999000999,0.8125,0.004995004995005
"d108_-50_110",0.333333333333333,0.0869565217391304,0.94005994005994,0.782608695652174,0
"d108_-50_112",0.333333333333333,0.214285714285714,0.81018981018981,0.607142857142857,0
"d108_-50_114",0.333333333333333,0.111111111111111,0.999000999000999,0.222222222222222,0.410589410589411
"d108_-50_116",0.333333333333333,0.0454545454545455,0.999000999000999,0.681818181818182,0.195804195804196
"d108_-50_118",0.333333333333333,0,0.999000999000999,0.684210526315789,0.204795204795205
"d108_-50_120",0.333333333333333,0.0909090909090909,0.999000999000999,0.681818181818182,0.047952047952048
"d108_-50_122",0.333333333333333,0.0769230769230769,0.968031968031968,0.807692307692308,0.050949050949051
"d108_-50_124",0.333333333333333,0,0.999000999000999,0.952380952380952,0.030969030969031
"d108_-50_126",0.333333333333333,0,0.999000999000999,0.814814814814815,0.021978021978022
"d108_-50_128",0.333333333333333,0.0277777777777778,0.999000999000999,0.833333333333333,0.047952047952048
"d108_-50_130",0.333333333333333,0.1,0.929070929070929,0.833333333333333,0.00699300699300699
"d108_-50_132",0.333333333333333,0.0740740740740741,0.999000999000999,0.814814814814815,0.026973026973027
"d108_-50_134",0.333333333333333,0.111111111111111,0.957042957042957,0.777777777777778,0.011988011988012
"d108_-50_136",0.333333333333333,0.0588235294117647,0.993006993006993,0.735294117647059,0.048951048951049
"d108_-50_138",0.333333333333333,0.0540540540540541,0.989010989010989,0.702702702702703,0.021978021978022
"d108_-50_140",0.333333333333333,0.0555555555555556,0.992007992007992,0.777777777777778,0.001998001998002
"d108_-50_142",0.333333333333333,0.119047619047619,0.831168831168831,0.833333333333333,0.00899100899100899
"d108_-50_144",0.333333333333333,0.292682926829268,0.999000999000999,0.219512195121951,0.396603396603397
"d108_-50_154",0.333333333333333,0.117647058823529,0.923076923076923,0.725490196078431,0.012987012987013
"d108_-50_156",0.333333333333333,0.0526315789473684,0.994005994005994,0.789473684210526,0.001998001998002
"d108_-50_76",0.333333333333333,0.0714285714285714,0.999000999000999,0.392857142857143,0.397602397602398
"d108_-52_102",0.333333333333333,0.125,0.885114885114885,0.708333333333333,0
"d108_-52_104",0.333333333333333,0.12,0.802197802197802,0.8,0
"d108_-52_110",0.333333333333333,0,0.999000999000999,0.7,0.193806193806194
"d108_-52_112",0.333333333333333,0,0.999000999000999,0.91304347826087,0
"d108_-52_114",0.333333333333333,0.08,0.844155844155844,0.72,0
"d108_-52_118",0.333333333333333,0.0833333333333333,0.799200799200799,0.916666666666667,0
"d108_-52_120",0.333333333333333,0.0588235294117647,0.973026973026973,0.823529411764706,0.004995004995005
"d108_-52_122",0.333333333333333,0.0666666666666667,0.94005994005994,0.866666666666667,0.047952047952048
"d108_-52_124",0.333333333333333,0,0.999000999000999,0.857142857142857,0.037962037962038
"d108_-52_126",0.333333333333333,0.0606060606060606,0.917082917082917,0.818181818181818,0.00699300699300699
"d108_-52_128",0.333333333333333,0.0303030303030303,0.999000999000999,0.848484848484849,0.003996003996004
"d108_-52_130",0.333333333333333,0.0909090909090909,0.959040959040959,0.772727272727273,0.00599400599400599
"d108_-52_132",0.333333333333333,0.0666666666666667,0.955044955044955,0.766666666666667,0.018981018981019
"d108_-52_134",0.333333333333333,0.0645161290322581,0.985014985014985,0.774193548387097,0.002997002997003
"d108_-52_136",0.333333333333333,0.0540540540540541,0.945054945054945,0.864864864864865,0.000999000999000999
"d108_-52_138",0.333333333333333,0.0689655172413793,0.96003996003996,0.793103448275862,0.004995004995005
"d108_-52_142",0.333333333333333,0.0222222222222222,0.999000999000999,0.777777777777778,0.026973026973027
"d108_-52_156",0.333333333333333,0.115384615384615,0.91008991008991,0.769230769230769,0.003996003996004
"d108_-52_158",0.333333333333333,0.0689655172413793,0.999000999000999,0.793103448275862,0.00999000999000999
"d108_-52_72",0.333333333333333,0.375,0.413586413586414,0.525,0
"d108_-52_74",0.333333333333333,0.222222222222222,0.999000999000999,0.555555555555556,0.0619380619380619
"d108_-52_76",0.333333333333333,0.209302325581395,0.983016983016983,0.604651162790698,0.024975024975025
"d108_-52_78",0.333333333333333,0.0769230769230769,0.999000999000999,0.423076923076923,0.118881118881119
