number,datasetID,site,system,taxa,nTime,spRichTotal,spRichCore,spRichTrans,propCore,propCore_pVal,propTrans,propTrans_pVal,meanAbundance,mu,bimodality,pBimodal,alpha,beta
106,1,34049,Terrestrial,Bird,15,78,57,13,0.730769231,0.042957043,0.166666667,0.65034965,1323.266667,0.794871795,0.411705511,0.106893107,1.129368987,0.319249313
107,1,34051,Terrestrial,Bird,15,77,47,21,0.61038961,0.002997003,0.272727273,0.628371628,2595.4,0.666666667,0.517447465,0.020979021,0.876993021,0.432174336
108,1,34052,Terrestrial,Bird,15,79,60,15,0.759493671,0.003996004,0.189873418,0.629370629,1169.133333,0.778902954,0.469485871,0.061938062,0.974513409,0.317749173
109,1,34054,Terrestrial,Bird,15,76,53,20,0.697368421,0,0.263157895,0.518481518,925.5333333,0.710526316,0.542724292,0.012987013,0.85022349,0.360722007
110,1,34055,Terrestrial,Bird,15,71,46,13,0.647887324,0.033966034,0.183098592,0.828171828,1380.8,0.722065728,0.463435374,0.088911089,0.974284969,0.378783641
111,1,34056,Terrestrial,Bird,15,73,50,10,0.684931507,0.003996004,0.136986301,0.983016983,1037.2,0.738812785,0.429912055,0.167832168,1.041940043,0.383626942
112,1,34059,Terrestrial,Bird,15,76,59,11,0.776315789,0,0.144736842,0.89010989,919.5333333,0.796491228,0.402736164,0.162837163,1.137511785,0.338078437
113,1,34060,Terrestrial,Bird,15,77,56,14,0.727272727,0.010989011,0.181818182,0.733266733,786.4,0.758441558,0.476114737,0.090909091,0.937622669,0.33343231
114,1,34061,Terrestrial,Bird,15,77,55,13,0.714285714,0.003996004,0.168831169,0.826173826,796.5333333,0.748917749,0.469146768,0.082917083,0.968773799,0.34368484
115,1,34063,Terrestrial,Bird,15,76,60,10,0.789473684,0,0.131578947,0.94005994,854.2,0.803508772,0.340974617,0.328671329,1.369558462,0.372722155
116,1,35005,Terrestrial,Bird,15,76,53,16,0.697368421,0.082917083,0.210526316,0.458541459,1051.133333,0.740350877,0.560998361,0.003996004,0.797804298,0.302174804
117,1,35009,Terrestrial,Bird,15,83,52,23,0.626506024,0.015984016,0.277108434,0.524475524,871.4,0.673092369,0.562960724,0.007992008,0.793439818,0.377657936
118,1,35010,Terrestrial,Bird,15,74,46,20,0.621621622,0.063936064,0.27027027,0.501498501,1047,0.679279279,0.608756578,0.000999001,0.738523262,0.348553579
119,1,35011,Terrestrial,Bird,15,74,45,21,0.608108108,0.041958042,0.283783784,0.501498501,971.3333333,0.663063063,0.525588468,0.034965035,0.819186727,0.394584611
120,1,35013,Terrestrial,Bird,15,80,57,15,0.7125,0.012987013,0.1875,0.71028971,1108.6,0.760833333,0.477904974,0.053946054,0.962994643,0.328016128
121,1,35014,Terrestrial,Bird,15,76,52,14,0.684210526,0.077922078,0.184210526,0.669330669,1178,0.742105263,0.545833569,0.018981019,0.815020139,0.310076482
122,1,35034,Terrestrial,Bird,15,74,52,13,0.702702703,0,0.175675676,0.862137862,920.2666667,0.75045045,0.450116277,0.091908092,1.024489827,0.357498273
123,1,35038,Terrestrial,Bird,15,84,71,7,0.845238095,0,0.083333333,0.954045954,1055.266667,0.852380952,0.317818964,0.206793207,1.342261287,0.2963255
124,1,36001,Terrestrial,Bird,15,85,51,25,0.6,0.096903097,0.294117647,0.334665335,1088.8,0.66745098,0.584711958,0,0.746650386,0.348420603
125,1,36003,Terrestrial,Bird,15,68,46,14,0.676470588,0.017982018,0.205882353,0.678321678,866.4,0.729411765,0.497528423,0.038961039,0.912692708,0.35363871
126,1,36006,Terrestrial,Bird,15,67,40,16,0.597014925,0.048951049,0.23880597,0.647352647,960.4666667,0.666666667,0.534386482,0.011988012,0.805679973,0.395770833
127,1,36011,Terrestrial,Bird,15,75,48,17,0.64,0.086913087,0.226666667,0.567432567,1095.066667,0.706666667,0.574796064,0.008991009,0.777499893,0.331823304
128,1,36013,Terrestrial,Bird,15,70,37,25,0.528571429,0.215784216,0.357142857,0.363636364,903.4,0.602857143,0.64573511,0.000999001,0.652712781,0.379841732
129,1,36028,Terrestrial,Bird,15,66,38,20,0.575757576,0.104895105,0.303030303,0.398601399,1034.8,0.646464646,0.593054853,0.000999001,0.746489255,0.383170961
130,1,38010,Terrestrial,Bird,15,63,36,20,0.571428571,0.081918082,0.317460317,0.501498501,782.8666667,0.628571429,0.657576942,0.005994006,0.653210709,0.370091461
131,1,38014,Terrestrial,Bird,15,74,54,13,0.72972973,0.014985015,0.175675676,0.744255744,690.2666667,0.752252252,0.478499873,0.064935065,0.919786102,0.333424252
132,1,38015,Terrestrial,Bird,15,75,47,17,0.626666667,0.038961039,0.226666667,0.629370629,912.6666667,0.689777778,0.532608065,0.013986014,0.815322264,0.362842323
133,1,38017,Terrestrial,Bird,15,62,39,11,0.629032258,0.01998002,0.177419355,0.911088911,405.4,0.695698925,0.476379834,0.085914086,0.928644928,0.405479585
134,1,38026,Terrestrial,Bird,15,74,53,13,0.716216216,0.005994006,0.175675676,0.704295704,822.4666667,0.763063063,0.448506283,0.075924076,1.004165475,0.331248138
135,1,38028,Terrestrial,Bird,15,64,44,11,0.6875,0.016983017,0.171875,0.816183816,758.8,0.738541667,0.484250438,0.068931069,0.951084026,0.356210557
136,1,38029,Terrestrial,Bird,15,72,57,12,0.791666667,0.000999001,0.166666667,0.665334665,797.4666667,0.8,0.437641723,0.085914086,1.085425165,0.319938356
137,1,38030,Terrestrial,Bird,15,69,45,18,0.652173913,0.05994006,0.260869565,0.395604396,773.8,0.698550725,0.522208884,0.028971029,0.856644601,0.356963079
138,1,39001,Terrestrial,Bird,15,83,63,14,0.759036145,0.084915085,0.168674699,0.553446553,1571.8,0.808835341,0.456309702,0.043956044,1.008717251,0.284116989
139,1,39006,Terrestrial,Bird,15,70,51,12,0.728571429,0.050949051,0.171428571,0.593406593,1601.8,0.776190476,0.470574761,0.034965035,0.944927826,0.309783625
140,1,39009,Terrestrial,Bird,15,75,59,11,0.786666667,0.062937063,0.146666667,0.61038961,768.3333333,0.826666667,0.406602897,0.055944056,1.168061482,0.292455152
141,1,39010,Terrestrial,Bird,15,76,61,7,0.802631579,0.000999001,0.092105263,0.982017982,797.7333333,0.828070175,0.317541975,0.315684316,1.438793073,0.34290403
142,1,39040,Terrestrial,Bird,15,69,43,14,0.623188406,0.107892108,0.202898551,0.691308691,688.5333333,0.709178744,0.543723204,0.023976024,0.808824246,0.348218005
143,1,39044,Terrestrial,Bird,15,73,49,14,0.671232877,0.018981019,0.191780822,0.784215784,591.2,0.735159817,0.458555494,0.095904096,0.987158471,0.365625838
144,1,42011,Terrestrial,Bird,15,54,34,13,0.62962963,0.031968032,0.240740741,0.615384615,703.8,0.675308642,0.573731139,0.006993007,0.803507109,0.390439233
145,1,42015,Terrestrial,Bird,15,59,36,15,0.610169492,0.048951049,0.254237288,0.676323676,508.6,0.677966102,0.53917429,0.033966034,0.860838754,0.424071674
146,1,42018,Terrestrial,Bird,15,55,37,10,0.672727273,0.050949051,0.181818182,0.776223776,590.9333333,0.746666667,0.447940287,0.121878122,1.100661162,0.389219071
147,1,42034,Terrestrial,Bird,15,42,25,11,0.595238095,0.022977023,0.261904762,0.694305694,557.2666667,0.647619048,0.505622657,0.036963037,0.921145703,0.494667604
148,1,42119,Terrestrial,Bird,15,70,39,18,0.557142857,0.014985015,0.257142857,0.713286713,529.4,0.646666667,0.473090379,0.104895105,0.928352846,0.474504073
149,1,44006,Terrestrial,Bird,15,83,49,24,0.590361446,0.11988012,0.289156627,0.354645355,573.9333333,0.669076305,0.556483918,0.004995005,0.778966789,0.356095614
150,1,44007,Terrestrial,Bird,15,95,61,21,0.642105263,0.010989011,0.221052632,0.748251748,482,0.685614035,0.527088761,0.021978022,0.806171204,0.373100744
151,1,44012,Terrestrial,Bird,15,88,50,25,0.568181818,0.06993007,0.284090909,0.433566434,813.4666667,0.647727273,0.548213759,0.010989011,0.76460098,0.385058873
152,1,44013,Terrestrial,Bird,15,91,54,21,0.593406593,0.044955045,0.230769231,0.682317682,598,0.686446886,0.534038253,0.023976024,0.825981384,0.371766621
153,1,44019,Terrestrial,Bird,15,97,56,33,0.577319588,0.027972028,0.340206186,0.383616384,939.0666667,0.624054983,0.617017215,0,0.697377783,0.385568446
