Dataset Name,Link,System,Taxa,Number of Sites,Number of Years,Number of Species,Raw Spatial Grain,Raw Spatial Grain Unit,Spatial Subsamples,Grain of Analysis,Multiscale,Citation,,Dataset ID
Breeding Bird Populations at William Trelease Woods,http://hdl.handle.net/2142/25182,Terrestrial,Bird,1,44,60,24,ha,1,24,N,"Kendeigh, 1982",,298
Breeding Bird Populations wintering in  William Trelease Woods,http://hdl.handle.net/2142/25182,Terrestrial,Bird,1,48,48,24,ha,1,24,N,"Kendeigh, 1982",,299
Breeding Bird Populations on Abandoned Farmland in Robert Allerton Park,http://hdl.handle.net/2142/25182,Terrestrial,Bird,1,6,34,11.35,ha,1,11.35,N,"Kendeigh, 1982",,300
Breeding Bird Populations on Abandoned Farmland in Robert Allerton Park,http://hdl.handle.net/2142/25182,Terrestrial,Bird,1,25,53,40,ha,1,40,N,"Kendeigh, 1982",,301
"Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland remnant, Bold Park, Perth",http://www.rswa.org.au/publications/Journal/81%283%29/81%283%29how.pdf,Terrestrial,Reptile,1,6,29,8000,m2,1,8000,N,"How, 1998",,304
Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,http://www.bioone.org/doi/pdf/10.1655/0018-0831%282006%2962%5B378%3AEORMOC%5D2.0.CO%3B2,Terrestrial,Reptile,1,14,35,4,km,1,4,N,Wilgers et al. 2006,,305
Temporal variation in richness and composition of recruits in a diverse cnidarian assemblage of subtropical Brazil,http://www.sciencedirect.com/science/article/pii/S0022098114001877,Marine,Invertebrate,1,8,34,8640,cm2,1,8640,N,Fernandez et al. 2014,,306
Mountain Birdwatch,https://knb.ecoinformatics.org/#view/doi:10.5063/F1DN430G,Terrestrial,Bird,35,11,72,628318,m2,1,628318,N,"Lambert and Hart, 2015",,308
Arthropod Pitfall Traps at LTER II NPP sites. Jornada LTER,http://jornada.nmsu.edu/lter/project/49395/view,Terrestrial,Invertebrate,10,6,157,62.8,m2,5,314,Y,Lightfoot et al. 2008,,313
Zooplankton survey of Oneida Lake,https://knb.ecoinformatics.org/#view/kgordon.17.56,Freshwater,Plankton,5,37,30,1,m3,1,1,Y,"Rudstam, 2008",,314
Monitoring the Abundance of Butterflies 1976-1985,http://jncc.defra.gov.uk/page-2614,Terrestrial,Invertebrate,35,10,44,5000,m2,1,5000,N,Pollard et al. 1986,,315
Small Mammal Exclosure Study. Jornada LTER,http://jornada.nmsu.edu/lter/project/49356/view,Terrestrial,Mammal,1,7,15,1296,m2,3,3888,Y,"Lightfoot, 1995",,316
Preston 1948 moths,https://www.jstor.org/stable/1930989,Terrestrial,Invertebrate,2,22,291,7854,m2,NA,NA,N,"Preston, 1948",,319
Vegetation surveys in large-herbivore exclusion in an African savanna: five years of the UHURU experiment,http://www.esapubs.org/archive/ecol/E095/064/metadata.php,Terrestrial,Plant,7,6,90,1,ha,42,42,Y,Kartzinel et al. 2014,,322
Maryland Biological Stream Survey Fish Data,http://dnr2.maryland.gov/streams/Pages/mbss.aspx,Freshwater,Fish,48,17,86,450,m2,2,900,Y,"XXXX, YYYY",acknowledgement request,323
Maryland Biological Stream Survey Macroinvertebrate Data,http://dnr2.maryland.gov/streams/Pages/mbss.aspx,Freshwater,Invertebrate,52,17,364,20,ft2,1,20,Y,"XXXX, YYYY",acknowledgement request,324
"Lake Kasumigaura database , Table 10 Phytoplankton density",http://db.cger.nies.go.jp/gem/moni-e/inter/GEMS/database/kasumi/contents/datalist.html,Freshwater,Plankton,2,33,172,2,m,1,2,N,"Takamura and Nakagawa, 2012",,325
"Lake Kasumigaura database , Table 12-1 Density of Rotifer, Cladocera and Copepoda",http://db.cger.nies.go.jp/gem/moni-e/inter/GEMS/database/kasumi/contents/datalist.html,Freshwater,Plankton,2,21,62,10000,ml,1,10000,N,Takamura et al. 2015,,326
"Lake Kasumigaura database , Table 14-1 Benthos data",http://db.cger.nies.go.jp/gem/moni-e/inter/GEMS/database/kasumi/contents/datalist.html,Freshwater,Benthos,4,22,10,30,cm2,1,30,N,"Iwakuma and Ueno, 2010",,327
"Lake Kasumigaura database , Table 15-2 Fish density data",http://db.cger.nies.go.jp/gem/moni-e/inter/GEMS/database/kasumi/contents/datalist.html,Freshwater,Fish,1,9,45,6,m,1,6,N,"Matsuzaki and Nohara, 2017",,328
"Lake Kasumigaura database , Ichthyoplankton data",personal communication,Freshwater,Plankton,3,6,137,439.03,m3,1,439.03,N,"XXXX, YYYY",,329
Central California Butterly Population Monitoring ,"personal communication, metadata at http://butterfly.ucdavis.edu/",Terrestrial,Invertebrate,8,41,148,85000,m,1,85000,N,Thorne et al. 2006,,330
