"stateroute","PCA.min","PCA.max","PCA.slope","PCA.mid","PCA.curvature","PCN.min","PCN.max","PCN.slope","PCN.mid","PCN.curvature"
17040,0.538461538461538,0.777227722772277,0.225102923025789,1.70126985535006,1.43813675250785,0.538461538461538,0.777227722772277,0.21917197621324,3.01278100171566,1.36159385494452
17044,0.451612903225806,0.845132743362832,0.259147993181196,2.0992098640221,1.18393566380518,0.451612903225806,0.845132743362832,0.250002823370665,3.50729803412762,1.35815496789894
17046,0.6,0.79126213592233,0.134384465414457,1.70126985535006,1.37270210078864,0.6,0.79126213592233,0.145666635818687,3.11512214121791,1.39719382121911
17047,0.598130841121495,0.792270531400966,0.200136422616285,1.70126985535006,1.08491933474367,0.598130841121495,0.792270531400966,0.207674980533309,3.06074819041823,1.06994742642266
17052,0.540816326530612,0.784313725490196,0.193979711950708,1.70126985535006,1.29589287302998,0.540816326530612,0.784313725490196,0.208363403488977,3.03901732199741,1.32879905827266
17055,0.476190476190476,0.777251184834123,0.209166865960978,1.87736111440574,0.968060525568708,0.476190476190476,0.777251184834123,0.238824693739898,3.32170887122551,0.950552331590833
17202,0.534090909090909,0.796954314720812,0.262863405629903,1.70126985535006,1.59572947634589,0.534090909090909,0.796954314720812,0.241268158995477,2.94250410616808,1.5946233968766
17203,0.534090909090909,0.781094527363184,0.282270086227905,1.70126985535006,1.63139198420722,0.534090909090909,0.781094527363184,0.258253026975883,2.94250410616808,1.59697312669873
17207,0.436363636363636,0.822429906542056,0.256496877878815,2.0992098640221,1.33556551331416,0.436363636363636,0.822429906542056,0.271510386506127,3.55438415747832,1.54552829993311
17209,0.657657657657658,0.783505154639175,0.105724729648856,1.70126985535006,1.15704887273959,0.657657657657658,0.783505154639175,0.105753658333082,2.98927179164169,1.16524585146448
17217,0.516483516483517,0.78743961352657,0.183435243503065,1.70126985535006,1.40351265761427,0.516483516483517,0.78743961352657,0.191518766992629,3.0873791070055,1.37443577815112
17221,0.516129032258065,0.805194805194805,0.327649871614701,1.70126985535006,1.63903968486624,0.516129032258065,0.805194805194805,0.309472911319424,3.02016785144969,1.72840517657435
17222,0.540816326530612,0.784313725490196,0.190417762091265,1.70126985535006,1.31744287983324,0.540816326530612,0.784313725490196,0.204577317539649,3.03901732199741,1.35241508782813
17228,0.396551724137931,0.803418803418803,0.267937664973685,2.00229985101404,1.52950990745801,0.396551724137931,0.803418803418803,0.244864939707133,3.39053475969589,1.66194079128423
