"","site","species","year","count"
"1074","d228_hb","Black-c. Chickadee",1997,2
"1076","d228_hb","White-br. Nuthatch",1997,1.5
"1081","d228_hb","Hermit Thrush",1997,1
"1082","d228_hb","Veery",1997,2.5
"1083","d228_hb","Swainson's Thrush",1997,2
"1086","d228_hb","Red-eyed Vireo",1997,22
"1088","d228_hb","Bk.-thr. Green Warbler",1997,8.5
"1089","d228_hb","Bk.-thr. Blue Warbler",1997,8.5
"1090","d228_hb","Yellow-r. Warbler",1997,2.5
"1091","d228_hb","Blackburnian Warbler",1997,4
"1093","d228_hb","Ovenbird",1997,10.5
"1094","d228_hb","American Redstart",1997,10.5
"1096","d228_hb","Scarlet Tanager",1997,2
"1097","d228_hb","Rose-br. Grosbeak",1997,4
"1106","d228_hb","Yellow-b.Sapsucker",1998,2
"1112","d228_hb","Black-c. Chickadee",1998,1
"1113","d228_hb","Brown Creeper",1998,2
"1116","d228_hb","Winter Wren",1998,4
"1119","d228_hb","Hermit Thrush",1998,3
"1120","d228_hb","Veery",1998,2
"1124","d228_hb","Red-eyed Vireo",1998,17
"1126","d228_hb","Bk.-thr. Green Warbler",1998,11
"1127","d228_hb","Bk.-thr. Blue Warbler",1998,8.5
"1131","d228_hb","Ovenbird",1998,9
"1132","d228_hb","American Redstart",1998,10
"1134","d228_hb","Scarlet Tanager",1998,2
"1144","d228_hb","Yellow-b.Sapsucker",1999,1.5
"1145","d228_hb","Hairy Woodpecker",1999,2.5
"1146","d228_hb","Downy Woodpecker",1999,1
"1150","d228_hb","Black-c. Chickadee",1999,3.5
"1152","d228_hb","White-br. Nuthatch",1999,2
"1154","d228_hb","Winter Wren",1999,1
"1157","d228_hb","Hermit Thrush",1999,3
"1158","d228_hb","Veery",1999,2.5
"1161","d228_hb","Solitary Vireo",1999,3
"1162","d228_hb","Red-eyed Vireo",1999,23.5
"1164","d228_hb","Bk.-thr. Green Warbler",1999,12.5
"1165","d228_hb","Bk.-thr. Blue Warbler",1999,11
"1169","d228_hb","Ovenbird",1999,4
"1170","d228_hb","American Redstart",1999,9.5
"1172","d228_hb","Scarlet Tanager",1999,2
"1173","d228_hb","Rose-br. Grosbeak",1999,2
"1182","d228_hb","Yellow-b.Sapsucker",2000,3
"1183","d228_hb","Hairy Woodpecker",2000,2
"1189","d228_hb","Brown Creeper",2000,2
"1190","d228_hb","White-br. Nuthatch",2000,2
"1192","d228_hb","Winter Wren",2000,1
"1195","d228_hb","Hermit Thrush",2000,3
"1199","d228_hb","Solitary Vireo",2000,1.5
"1200","d228_hb","Red-eyed Vireo",2000,28
"1202","d228_hb","Bk.-thr. Green Warbler",2000,15.5
"1203","d228_hb","Bk.-thr. Blue Warbler",2000,10.5
"1204","d228_hb","Yellow-r. Warbler",2000,2
"1205","d228_hb","Blackburnian Warbler",2000,2
"1207","d228_hb","Ovenbird",2000,7.5
"1208","d228_hb","American Redstart",2000,7.5
"1210","d228_hb","Scarlet Tanager",2000,1
"1220","d228_hb","Yellow-b.Sapsucker",2001,3
"1221","d228_hb","Hairy Woodpecker",2001,2
"1227","d228_hb","Brown Creeper",2001,2
"1228","d228_hb","White-br. Nuthatch",2001,1
"1233","d228_hb","Hermit Thrush",2001,4.5
"1235","d228_hb","Swainson's Thrush",2001,4
"1237","d228_hb","Solitary Vireo",2001,3.5
"1238","d228_hb","Red-eyed Vireo",2001,29
"1240","d228_hb","Bk.-thr. Green Warbler",2001,13.5
"1241","d228_hb","Bk.-thr. Blue Warbler",2001,9
"1242","d228_hb","Yellow-r. Warbler",2001,4
"1243","d228_hb","Blackburnian Warbler",2001,4
"1245","d228_hb","Ovenbird",2001,7
"1246","d228_hb","American Redstart",2001,4
"1248","d228_hb","Scarlet Tanager",2001,0.5
"1258","d228_hb","Yellow-b.Sapsucker",2002,2
"1259","d228_hb","Hairy Woodpecker",2002,1
"1265","d228_hb","Brown Creeper",2002,2
"1266","d228_hb","White-br. Nuthatch",2002,2
"1268","d228_hb","Winter Wren",2002,1
"1271","d228_hb","Hermit Thrush",2002,3
"1276","d228_hb","Red-eyed Vireo",2002,19
"1278","d228_hb","Bk.-thr. Green Warbler",2002,16
"1279","d228_hb","Bk.-thr. Blue Warbler",2002,9
"1280","d228_hb","Yellow-r. Warbler",2002,2
"1281","d228_hb","Blackburnian Warbler",2002,3
"1283","d228_hb","Ovenbird",2002,7.5
"1284","d228_hb","American Redstart",2002,2
"1286","d228_hb","Scarlet Tanager",2002,1
"1296","d228_hb","Yellow-b.Sapsucker",2003,4
"1297","d228_hb","Hairy Woodpecker",2003,3
"1298","d228_hb","Downy Woodpecker",2003,2
"1302","d228_hb","Black-c. Chickadee",2003,2
"1304","d228_hb","White-br. Nuthatch",2003,2
"1309","d228_hb","Hermit Thrush",2003,4.5
"1313","d228_hb","Solitary Vireo",2003,3
"1314","d228_hb","Red-eyed Vireo",2003,21
"1316","d228_hb","Bk.-thr. Green Warbler",2003,13
"1317","d228_hb","Bk.-thr. Blue Warbler",2003,7.5
"1318","d228_hb","Yellow-r. Warbler",2003,2
"1319","d228_hb","Blackburnian Warbler",2003,3
"1321","d228_hb","Ovenbird",2003,8
"1322","d228_hb","American Redstart",2003,7
"1324","d228_hb","Scarlet Tanager",2003,5
"1325","d228_hb","Rose-br. Grosbeak",2003,2
"1334","d228_hb","Yellow-b.Sapsucker",2004,4
"1335","d228_hb","Hairy Woodpecker",2004,2
"1336","d228_hb","Downy Woodpecker",2004,2
"1340","d228_hb","Black-c. Chickadee",2004,1
"1344","d228_hb","Winter Wren",2004,3
"1347","d228_hb","Hermit Thrush",2004,3
"1352","d228_hb","Red-eyed Vireo",2004,21
"1354","d228_hb","Bk.-thr. Green Warbler",2004,13.5
"1355","d228_hb","Bk.-thr. Blue Warbler",2004,6
"1357","d228_hb","Blackburnian Warbler",2004,2
"1359","d228_hb","Ovenbird",2004,8
"1360","d228_hb","American Redstart",2004,2
"1362","d228_hb","Scarlet Tanager",2004,4
"1363","d228_hb","Rose-br. Grosbeak",2004,4
"1372","d228_hb","Yellow-b.Sapsucker",2005,5
"1373","d228_hb","Hairy Woodpecker",2005,2.5
"1374","d228_hb","Downy Woodpecker",2005,1
"1377","d228_hb","Blue Jay",2005,1
"1378","d228_hb","Black-c. Chickadee",2005,2
"1382","d228_hb","Winter Wren",2005,2
"1385","d228_hb","Hermit Thrush",2005,4.5
"1386","d228_hb","Veery",2005,1
"1390","d228_hb","Red-eyed Vireo",2005,24.5
"1392","d228_hb","Bk.-thr. Green Warbler",2005,13
"1393","d228_hb","Bk.-thr. Blue Warbler",2005,8
"1394","d228_hb","Yellow-r. Warbler",2005,2
"1395","d228_hb","Blackburnian Warbler",2005,4
"1397","d228_hb","Ovenbird",2005,15.5
"1398","d228_hb","American Redstart",2005,1
"1400","d228_hb","Scarlet Tanager",2005,5.5
"1401","d228_hb","Rose-br. Grosbeak",2005,3
"1407","d228_hb","Ruffed Grouse",2006,1
"1408","d228_hb","Ruby-thr. Hummingbird",2006,1
"1410","d228_hb","Yellow-b.Sapsucker",2006,2
"1411","d228_hb","Hairy Woodpecker",2006,3
"1412","d228_hb","Downy Woodpecker",2006,2
"1416","d228_hb","Black-c. Chickadee",2006,4
"1417","d228_hb","Brown Creeper",2006,2
"1418","d228_hb","White-br. Nuthatch",2006,2
"1420","d228_hb","Winter Wren",2006,1.5
"1423","d228_hb","Hermit Thrush",2006,6.5
"1427","d228_hb","Solitary Vireo",2006,3
"1428","d228_hb","Red-eyed Vireo",2006,22
"1430","d228_hb","Bk.-thr. Green Warbler",2006,17.5
"1431","d228_hb","Bk.-thr. Blue Warbler",2006,10
"1432","d228_hb","Yellow-r. Warbler",2006,4.5
"1433","d228_hb","Blackburnian Warbler",2006,2
"1435","d228_hb","Ovenbird",2006,15
"1436","d228_hb","American Redstart",2006,2
"1438","d228_hb","Scarlet Tanager",2006,4
"1439","d228_hb","Rose-br. Grosbeak",2006,2.5
"1445","d228_hb","Ruffed Grouse",2007,1
"1446","d228_hb","Ruby-thr. Hummingbird",2007,1
"1448","d228_hb","Yellow-b.Sapsucker",2007,4
"1449","d228_hb","Hairy Woodpecker",2007,4
"1453","d228_hb","Blue Jay",2007,1
"1454","d228_hb","Black-c. Chickadee",2007,3
"1455","d228_hb","Brown Creeper",2007,1
"1456","d228_hb","White-br. Nuthatch",2007,2
"1458","d228_hb","Winter Wren",2007,1
"1461","d228_hb","Hermit Thrush",2007,4.5
"1465","d228_hb","Solitary Vireo",2007,2
"1466","d228_hb","Red-eyed Vireo",2007,19
"1468","d228_hb","Bk.-thr. Green Warbler",2007,16
"1469","d228_hb","Bk.-thr. Blue Warbler",2007,10.5
"1470","d228_hb","Yellow-r. Warbler",2007,2
"1471","d228_hb","Blackburnian Warbler",2007,2
"1473","d228_hb","Ovenbird",2007,20
"1474","d228_hb","American Redstart",2007,2
"1476","d228_hb","Scarlet Tanager",2007,1.5
"1477","d228_hb","Rose-br. Grosbeak",2007,2.5
"1486","d228_hb","Yellow-b.Sapsucker",2008,3.5
"1487","d228_hb","Hairy Woodpecker",2008,2.5
"1496","d228_hb","Winter Wren",2008,2.5
"1499","d228_hb","Hermit Thrush",2008,4.5
"1501","d228_hb","Swainson's Thrush",2008,2
"1503","d228_hb","Solitary Vireo",2008,4
"1504","d228_hb","Red-eyed Vireo",2008,19.5
"1506","d228_hb","Bk.-thr. Green Warbler",2008,15.5
"1507","d228_hb","Bk.-thr. Blue Warbler",2008,5
"1508","d228_hb","Yellow-r. Warbler",2008,0.5
"1509","d228_hb","Blackburnian Warbler",2008,2
"1511","d228_hb","Ovenbird",2008,21
"1512","d228_hb","American Redstart",2008,3
"1514","d228_hb","Scarlet Tanager",2008,3
"1515","d228_hb","Rose-br. Grosbeak",2008,3
"1524","d228_hb","Yellow-b.Sapsucker",2009,3.5
"1525","d228_hb","Hairy Woodpecker",2009,2.5
"1530","d228_hb","Black-c. Chickadee",2009,0.5
"1532","d228_hb","White-br. Nuthatch",2009,0.5
"1537","d228_hb","Hermit Thrush",2009,6.5
"1539","d228_hb","Swainson's Thrush",2009,2
"1541","d228_hb","Solitary Vireo",2009,2.5
"1542","d228_hb","Red-eyed Vireo",2009,27
"1543","d228_hb","Blk. & Wh. Warbler",2009,2
"1544","d228_hb","Bk.-thr. Green Warbler",2009,24.5
"1545","d228_hb","Bk.-thr. Blue Warbler",2009,6.5
"1547","d228_hb","Blackburnian Warbler",2009,2
"1549","d228_hb","Ovenbird",2009,21.5
"1550","d228_hb","American Redstart",2009,0.5
"1552","d228_hb","Scarlet Tanager",2009,1.5
"1553","d228_hb","Rose-br. Grosbeak",2009,2
"1560","d228_hb","Ruby-thr. Hummingbird",2010,1
"1562","d228_hb","Yellow-b.Sapsucker",2010,4.5
"1563","d228_hb","Hairy Woodpecker",2010,2.5
"1564","d228_hb","Downy Woodpecker",2010,3
"1569","d228_hb","Brown Creeper",2010,4
"1572","d228_hb","Winter Wren",2010,1
"1575","d228_hb","Hermit Thrush",2010,5.5
"1577","d228_hb","Swainson's Thrush",2010,3
"1580","d228_hb","Red-eyed Vireo",2010,23.5
"1582","d228_hb","Bk.-thr. Green Warbler",2010,20.5
"1583","d228_hb","Bk.-thr. Blue Warbler",2010,7.5
"1584","d228_hb","Yellow-r. Warbler",2010,2.5
"1585","d228_hb","Blackburnian Warbler",2010,4
"1587","d228_hb","Ovenbird",2010,17
"1590","d228_hb","Scarlet Tanager",2010,4.5
"1591","d228_hb","Rose-br. Grosbeak",2010,3.5
"46","d228_mk","Yellow-b.Sapsucker",1986,3
"515","d228_mk","Hairy Woodpecker",1986,2
"611","d228_mk","Downy Woodpecker",1986,0.5
"15","d228_mk","Wood Thrush",1986,2
"162","d228_mk","Hermit Thrush",1986,1
"178","d228_mk","Veery",1986,2
"183","d228_mk","Swainson's Thrush",1986,2
"2010","d228_mk","Red-eyed Vireo",1986,19.5
"229","d228_mk","Bk.-thr. Green Warbler",1986,8
"23","d228_mk","Bk.-thr. Blue Warbler",1986,12.5
"2510","d228_mk","Blackburnian Warbler",1986,3
"277","d228_mk","Ovenbird",1986,6.5
"28","d228_mk","American Redstart",1986,14
"303","d228_mk","Scarlet Tanager",1986,2.5
"31","d228_mk","Rose-br. Grosbeak",1986,3.5
"40","d228_mk","Yellow-b.Sapsucker",1987,2
"41","d228_mk","Hairy Woodpecker",1987,2
"4210","d228_mk","Downy Woodpecker",1987,1
"433","d228_mk","Least Flycatcher",1987,2
"482","d228_mk","White-br. Nuthatch",1987,1
"503","d228_mk","Winter Wren",1987,1
"51","d228_mk","Wood Thrush",1987,2
"525","d228_mk","Hermit Thrush",1987,1.5
"5310","d228_mk","Veery",1987,2.5
"552","d228_mk","Solitary Vireo",1987,1
"563","d228_mk","Red-eyed Vireo",1987,20
"581","d228_mk","Bk.-thr. Green Warbler",1987,7.5
"59","d228_mk","Bk.-thr. Blue Warbler",1987,15.5
"61","d228_mk","Blackburnian Warbler",1987,2
"631","d228_mk","Ovenbird",1987,8
"64","d228_mk","American Redstart",1987,17
"66","d228_mk","Scarlet Tanager",1987,4
"674","d228_mk","Rose-br. Grosbeak",1987,3.5
"76","d228_mk","Yellow-b.Sapsucker",1988,2
"77","d228_mk","Hairy Woodpecker",1988,1
"78","d228_mk","Downy Woodpecker",1988,2
"79","d228_mk","Least Flycatcher",1988,0.5
"821","d228_mk","Black-c. Chickadee",1988,0.5
"845","d228_mk","White-br. Nuthatch",1988,1
"871","d228_mk","Wood Thrush",1988,2
"883","d228_mk","Hermit Thrush",1988,2
"89","d228_mk","Veery",1988,3
"902","d228_mk","Swainson's Thrush",1988,0.5
"921","d228_mk","Red-eyed Vireo",1988,19
"932","d228_mk","Blk. & Wh. Warbler",1988,1
"943","d228_mk","Bk.-thr. Green Warbler",1988,17
"951","d228_mk","Bk.-thr. Blue Warbler",1988,16
"97","d228_mk","Blackburnian Warbler",1988,2
"99","d228_mk","Ovenbird",1988,12
"1001","d228_mk","American Redstart",1988,18.5
"102","d228_mk","Scarlet Tanager",1988,2
"1032","d228_mk","Rose-br. Grosbeak",1988,3.5
"1054","d228_mk","Dark-eyed Junco",1988,1
"1121","d228_mk","Yellow-b.Sapsucker",1989,2.5
"113","d228_mk","Hairy Woodpecker",1989,1
"114","d228_mk","Downy Woodpecker",1989,1.5
"1181","d228_mk","Black-c. Chickadee",1989,2
"1201","d228_mk","White-br. Nuthatch",1989,1
"122","d228_mk","Winter Wren",1989,2
"123","d228_mk","Wood Thrush",1989,4
"1244","d228_mk","Hermit Thrush",1989,2.5
"125","d228_mk","Veery",1989,3.5
"1282","d228_mk","Red-eyed Vireo",1989,22.5
"1291","d228_mk","Blk. & Wh. Warbler",1989,1
"1301","d228_mk","Bk.-thr. Green Warbler",1989,17.5
"1311","d228_mk","Bk.-thr. Blue Warbler",1989,16
"1323","d228_mk","Yellow-r. Warbler",1989,1
"1331","d228_mk","Blackburnian Warbler",1989,2.5
"1351","d228_mk","Ovenbird",1989,8
"1361","d228_mk","American Redstart",1989,19.5
"1381","d228_mk","Scarlet Tanager",1989,3
"1391","d228_mk","Rose-br. Grosbeak",1989,4
"148","d228_mk","Yellow-b.Sapsucker",1990,2.5
"1491","d228_mk","Hairy Woodpecker",1990,1.5
"1502","d228_mk","Downy Woodpecker",1990,3
"154","d228_mk","Black-c. Chickadee",1990,3.5
"1561","d228_mk","White-br. Nuthatch",1990,2.5
"1581","d228_mk","Winter Wren",1990,0.5
"1592","d228_mk","Wood Thrush",1990,2
"160","d228_mk","Hermit Thrush",1990,3
"161","d228_mk","Veery",1990,3.5
"1641","d228_mk","Red-eyed Vireo",1990,21.5
"165","d228_mk","Blk. & Wh. Warbler",1990,0.5
"1661","d228_mk","Bk.-thr. Green Warbler",1990,18.5
"167","d228_mk","Bk.-thr. Blue Warbler",1990,19.5
"1681","d228_mk","Yellow-r. Warbler",1990,1.5
"1691","d228_mk","Blackburnian Warbler",1990,3
"1701","d228_mk","Chestnut-sided Warbler",1990,0.5
"1711","d228_mk","Ovenbird",1990,16
"1721","d228_mk","American Redstart",1990,19
"1731","d228_mk","Canada Warbler",1990,0.5
"1741","d228_mk","Scarlet Tanager",1990,2.5
"175","d228_mk","Rose-br. Grosbeak",1990,4
"1811","d228_mk","Ruffed Grouse",1991,2
"1841","d228_mk","Yellow-b.Sapsucker",1991,3.5
"1851","d228_mk","Hairy Woodpecker",1991,2.5
"186","d228_mk","Downy Woodpecker",1991,1.5
"190","d228_mk","Black-c. Chickadee",1991,2
"1941","d228_mk","Winter Wren",1991,2.5
"1961","d228_mk","Hermit Thrush",1991,1
"1971","d228_mk","Veery",1991,5
"2001","d228_mk","Red-eyed Vireo",1991,26.5
"2021","d228_mk","Bk.-thr. Green Warbler",1991,14
"203","d228_mk","Bk.-thr. Blue Warbler",1991,13
"205","d228_mk","Blackburnian Warbler",1991,2
"2071","d228_mk","Ovenbird",1991,9
"2081","d228_mk","American Redstart",1991,8.5
"2101","d228_mk","Scarlet Tanager",1991,3.5
"2111","d228_mk","Rose-br. Grosbeak",1991,3.5
"2201","d228_mk","Yellow-b.Sapsucker",1992,4
"221","d228_mk","Hairy Woodpecker",1992,1
"2221","d228_mk","Downy Woodpecker",1992,1
"226","d228_mk","Black-c. Chickadee",1992,2
"228","d228_mk","White-br. Nuthatch",1992,1
"231","d228_mk","Wood Thrush",1992,2
"2321","d228_mk","Hermit Thrush",1992,1.5
"2331","d228_mk","Veery",1992,4
"2351","d228_mk","Solitary Vireo",1992,1.5
"236","d228_mk","Red-eyed Vireo",1992,14.5
"2381","d228_mk","Bk.-thr. Green Warbler",1992,13.5
"239","d228_mk","Bk.-thr. Blue Warbler",1992,12.5
"241","d228_mk","Blackburnian Warbler",1992,2
"243","d228_mk","Ovenbird",1992,6.5
"2441","d228_mk","American Redstart",1992,9
"2451","d228_mk","Canada Warbler",1992,2
"2461","d228_mk","Scarlet Tanager",1992,4
"2471","d228_mk","Rose-br. Grosbeak",1992,4
"256","d228_mk","Yellow-b.Sapsucker",1993,2
"2571","d228_mk","Hairy Woodpecker",1993,1
"262","d228_mk","Black-c. Chickadee",1993,1
"264","d228_mk","White-br. Nuthatch",1993,2
"268","d228_mk","Hermit Thrush",1993,3.5
"269","d228_mk","Veery",1993,6
"2711","d228_mk","Solitary Vireo",1993,0.5
"2721","d228_mk","Red-eyed Vireo",1993,19
"274","d228_mk","Bk.-thr. Green Warbler",1993,8.5
"275","d228_mk","Bk.-thr. Blue Warbler",1993,8
"276","d228_mk","Yellow-r. Warbler",1993,3
"279","d228_mk","Ovenbird",1993,7.5
"2801","d228_mk","American Redstart",1993,6.5
"2821","d228_mk","Scarlet Tanager",1993,3.5
"2831","d228_mk","Rose-br. Grosbeak",1993,2
"292","d228_mk","Yellow-b.Sapsucker",1994,2.5
"2931","d228_mk","Hairy Woodpecker",1994,1.5
"2981","d228_mk","Black-c. Chickadee",1994,2
"2991","d228_mk","Brown Creeper",1994,2
"300","d228_mk","White-br. Nuthatch",1994,0.5
"304","d228_mk","Hermit Thrush",1994,3
"305","d228_mk","Veery",1994,2.5
"306","d228_mk","Swainson's Thrush",1994,1
"307","d228_mk","Solitary Vireo",1994,0.5
"3081","d228_mk","Red-eyed Vireo",1994,14
"3101","d228_mk","Bk.-thr. Green Warbler",1994,9.5
"3111","d228_mk","Bk.-thr. Blue Warbler",1994,8.5
"315","d228_mk","Ovenbird",1994,9
"3161","d228_mk","American Redstart",1994,2
"3181","d228_mk","Scarlet Tanager",1994,3
"319","d228_mk","Rose-br. Grosbeak",1994,4
"3251","d228_mk","Ruffed Grouse",1995,1
"3281","d228_mk","Yellow-b.Sapsucker",1995,3
"3291","d228_mk","Hairy Woodpecker",1995,2
"340","d228_mk","Hermit Thrush",1995,6.5
"341","d228_mk","Veery",1995,2
"342","d228_mk","Swainson's Thrush",1995,1
"343","d228_mk","Solitary Vireo",1995,2
"344","d228_mk","Red-eyed Vireo",1995,20
"3461","d228_mk","Bk.-thr. Green Warbler",1995,12.5
"3471","d228_mk","Bk.-thr. Blue Warbler",1995,12.5
"351","d228_mk","Ovenbird",1995,7.5
"352","d228_mk","American Redstart",1995,2
"3541","d228_mk","Scarlet Tanager",1995,2
"355","d228_mk","Rose-br. Grosbeak",1995,2
"3641","d228_mk","Yellow-b.Sapsucker",1996,2
"365","d228_mk","Hairy Woodpecker",1996,2
"3661","d228_mk","Downy Woodpecker",1996,1
"368","d228_mk","Wood Pewee",1996,1
"370","d228_mk","Black-c. Chickadee",1996,2
"376","d228_mk","Hermit Thrush",1996,6
"377","d228_mk","Veery",1996,2
"380","d228_mk","Red-eyed Vireo",1996,19.5
"381","d228_mk","Blk. & Wh. Warbler",1996,1
"382","d228_mk","Bk.-thr. Green Warbler",1996,11
"383","d228_mk","Bk.-thr. Blue Warbler",1996,9
"3851","d228_mk","Blackburnian Warbler",1996,2
"3871","d228_mk","Ovenbird",1996,10
"388","d228_mk","American Redstart",1996,4
"390","d228_mk","Scarlet Tanager",1996,4
"391","d228_mk","Rose-br. Grosbeak",1996,2
"3981","d228_mk","Ruby-thr. Hummingbird",1997,1
"4001","d228_mk","Yellow-b.Sapsucker",1997,3.5
"401","d228_mk","Hairy Woodpecker",1997,1.5
"4021","d228_mk","Downy Woodpecker",1997,2
"4061","d228_mk","Black-c. Chickadee",1997,1
"4121","d228_mk","Hermit Thrush",1997,2.5
"4131","d228_mk","Veery",1997,0.5
"414","d228_mk","Swainson's Thrush",1997,3.5
"416","d228_mk","Red-eyed Vireo",1997,24
"418","d228_mk","Bk.-thr. Green Warbler",1997,12.5
"419","d228_mk","Bk.-thr. Blue Warbler",1997,9
"420","d228_mk","Yellow-r. Warbler",1997,1.5
"421","d228_mk","Blackburnian Warbler",1997,2
"4231","d228_mk","Ovenbird",1997,5
"4241","d228_mk","American Redstart",1997,3.5
"426","d228_mk","Scarlet Tanager",1997,2
"4271","d228_mk","Rose-br. Grosbeak",1997,2
"4361","d228_mk","Yellow-b.Sapsucker",1998,2
"4381","d228_mk","Downy Woodpecker",1998,2
"4421","d228_mk","Black-c. Chickadee",1998,2.5
"446","d228_mk","Winter Wren",1998,2
"4481","d228_mk","Hermit Thrush",1998,4
"452","d228_mk","Red-eyed Vireo",1998,18
"454","d228_mk","Bk.-thr. Green Warbler",1998,12.5
"455","d228_mk","Bk.-thr. Blue Warbler",1998,9.5
"457","d228_mk","Blackburnian Warbler",1998,2
"459","d228_mk","Ovenbird",1998,8
"4601","d228_mk","American Redstart",1998,2
"462","d228_mk","Scarlet Tanager",1998,2
"4721","d228_mk","Yellow-b.Sapsucker",1999,4
"4731","d228_mk","Hairy Woodpecker",1999,2
"4741","d228_mk","Downy Woodpecker",1999,1
"4781","d228_mk","Black-c. Chickadee",1999,0.5
"484","d228_mk","Hermit Thrush",1999,4
"4851","d228_mk","Veery",1999,1
"487","d228_mk","Solitary Vireo",1999,1
"4881","d228_mk","Red-eyed Vireo",1999,27.5
"490","d228_mk","Bk.-thr. Green Warbler",1999,15
"491","d228_mk","Bk.-thr. Blue Warbler",1999,14.5
"493","d228_mk","Blackburnian Warbler",1999,2
"495","d228_mk","Ovenbird",1999,5
"496","d228_mk","American Redstart",1999,4
"4981","d228_mk","Scarlet Tanager",1999,3
"4991","d228_mk","Rose-br. Grosbeak",1999,0.5
"508","d228_mk","Yellow-b.Sapsucker",2000,2.5
"509","d228_mk","Hairy Woodpecker",2000,2
"5141","d228_mk","Black-c. Chickadee",2000,3
"5161","d228_mk","White-br. Nuthatch",2000,0.5
"5201","d228_mk","Hermit Thrush",2000,5
"5241","d228_mk","Red-eyed Vireo",2000,27
"5261","d228_mk","Bk.-thr. Green Warbler",2000,17
"5271","d228_mk","Bk.-thr. Blue Warbler",2000,11.5
"529","d228_mk","Blackburnian Warbler",2000,2
"531","d228_mk","Ovenbird",2000,6
"532","d228_mk","American Redstart",2000,3
"534","d228_mk","Scarlet Tanager",2000,4.5
"535","d228_mk","Rose-br. Grosbeak",2000,1.5
"517","d228_rp","Hairy Woodpecker",1986,2
"615","d228_rp","Downy Woodpecker",1986,1
"85","d228_rp","Wood Pewee",1986,1
"104","d228_rp","Black-c. Chickadee",1986,1.5
"127","d228_rp","White-br. Nuthatch",1986,2
"145","d228_rp","Winter Wren",1986,0.5
"1810","d228_rp","Swainson's Thrush",1986,1
"2011","d228_rp","Red-eyed Vireo",1986,21
"2210","d228_rp","Bk.-thr. Green Warbler",1986,8
"2310","d228_rp","Bk.-thr. Blue Warbler",1986,2
"249","d228_rp","Yellow-r. Warbler",1986,1
"2511","d228_rp","Blackburnian Warbler",1986,0.5
"2710","d228_rp","Ovenbird",1986,10
"281","d228_rp","American Redstart",1986,15
"3010","d228_rp","Scarlet Tanager",1986,6.5
"312","d228_rp","Rose-br. Grosbeak",1986,3.5
"415","d228_rp","Hairy Woodpecker",1987,1.5
"4211","d228_rp","Downy Woodpecker",1987,2
"444","d228_rp","Wood Pewee",1987,0.5
"4810","d228_rp","White-br. Nuthatch",1987,0.5
"5010","d228_rp","Winter Wren",1987,0.5
"5110","d228_rp","Wood Thrush",1987,0.5
"528","d228_rp","Hermit Thrush",1987,2.5
"553","d228_rp","Solitary Vireo",1987,0.5
"566","d228_rp","Red-eyed Vireo",1987,15.5
"583","d228_rp","Bk.-thr. Green Warbler",1987,8.5
"591","d228_rp","Bk.-thr. Blue Warbler",1987,2
"616","d228_rp","Blackburnian Warbler",1987,1
"636","d228_rp","Ovenbird",1987,12
"642","d228_rp","American Redstart",1987,12.5
"661","d228_rp","Scarlet Tanager",1987,1.5
"677","d228_rp","Rose-br. Grosbeak",1987,3
"761","d228_rp","Yellow-b.Sapsucker",1988,0.5
"771","d228_rp","Hairy Woodpecker",1988,1
"781","d228_rp","Downy Woodpecker",1988,1
"791","d228_rp","Least Flycatcher",1988,6.5
"801","d228_rp","Wood Pewee",1988,2
"832","d228_rp","Brown Creeper",1988,1
"849","d228_rp","White-br. Nuthatch",1988,1
"864","d228_rp","Winter Wren",1988,4
"887","d228_rp","Hermit Thrush",1988,1.5
"894","d228_rp","Veery",1988,0.5
"923","d228_rp","Red-eyed Vireo",1988,21
"946","d228_rp","Bk.-thr. Green Warbler",1988,11
"952","d228_rp","Bk.-thr. Blue Warbler",1988,5
"991","d228_rp","Ovenbird",1988,21.5
"1002","d228_rp","American Redstart",1988,12
"1022","d228_rp","Scarlet Tanager",1988,3
"1033","d228_rp","Rose-br. Grosbeak",1988,3
"1122","d228_rp","Yellow-b.Sapsucker",1989,2.5
"1133","d228_rp","Hairy Woodpecker",1989,3
"1141","d228_rp","Downy Woodpecker",1989,2
"115","d228_rp","Least Flycatcher",1989,5.5
"116","d228_rp","Wood Pewee",1989,1
"1184","d228_rp","Black-c. Chickadee",1989,2.5
"1206","d228_rp","White-br. Nuthatch",1989,1.5
"1222","d228_rp","Winter Wren",1989,1.5
"1247","d228_rp","Hermit Thrush",1989,3
"1251","d228_rp","Veery",1989,3
"1285","d228_rp","Red-eyed Vireo",1989,21.5
"1303","d228_rp","Bk.-thr. Green Warbler",1989,17
"1312","d228_rp","Bk.-thr. Blue Warbler",1989,8
"1353","d228_rp","Ovenbird",1989,29
"1364","d228_rp","American Redstart",1989,13
"1383","d228_rp","Scarlet Tanager",1989,2.5
"1396","d228_rp","Rose-br. Grosbeak",1989,3
"1481","d228_rp","Yellow-b.Sapsucker",1990,1.5
"1492","d228_rp","Hairy Woodpecker",1990,1.5
"1505","d228_rp","Downy Woodpecker",1990,1.5
"151","d228_rp","Least Flycatcher",1990,6
"152","d228_rp","Wood Pewee",1990,1
"1546","d228_rp","Black-c. Chickadee",1990,2.5
"1565","d228_rp","White-br. Nuthatch",1990,1
"1586","d228_rp","Winter Wren",1990,2.5
"1601","d228_rp","Hermit Thrush",1990,2.5
