dataset_ID,data_obtained,data_formatted,obtain_priority,dataset_name,retriever_code,Availability,data_source,system,climate,taxa,organism,location,CentralLatitude,CentralLongitude,CentralLatLon_FLAG,spatial_grain_value,spatial_grain_unit,spatial_grain_analysis_value,spatial_grain_analysis_unit,spatial_grain_decision_notes,spatial_sampling_method,spatial_sampling_notes,spatial_extent,spatial_extent_units,Temporal_grain,Temporal_grain_unit,analysis_grain_temporal,Analysis_grain_temporal_unit,temporal_grain_decision_notes,start_year,end_year,study_type,notes,Citation1,Citation2,Citation3,Citation4,Citation5,Citation6,Citation7
169,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - OBIS SEAMAP,Marine,Temperate,Bird,Mostly seabirds and some marine mammals,,34.931726,-121.85437,0,3,km,,,,bins,,784953,,1,year,1,year,,1987,2006,,spatial extent is in square kilometers,"P. Yen, W. Sydeman, S. Bograd, K. Hyrenbach, Spring-time distributions of migratory marine birds in the southern California Current: Oceanic eddy associations and coastal habitat hotspots over 17 years. Deep Sea Research Part II: Topical Studies in Oceanography 53, 399 (2006).","J. Jahncke, C. Rintoul, ""CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006"". California Cooperative Oceanic Fisheries Investigations (CalCOFI) and National Marine Fisheries Service (NMFS) cruises, 1987-2006 - OBIS SEAMAP (2006). (Available at http://www.iobis.org, accessed 2012).","C. Rintoul, B. Schlagenhauf-Langabeer, K. D. Hyrenbach, K. H. Morgan, W. J. Sydeman, Atlas of California Current Marine Birds and Mammals: Version 1. Unpublished report, PRBO Conservation Science, Petaluma, California (2006).","P. P. Yen, W. J. Sydeman, K. D. Hyrenbach, Marine bird and cetacean associations with bathymetric habitats and shallow-water topographies: implications for trophic transfer and conservation. Journal of Marine Systems 50, 79 (2004).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA,NA
171,Y,Y,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - SEAMAP (Bahamas Marine Mammal Research Organisation),Marine,Tropical/Temperate,Mammals,Marine mammals and a few turtles,,24.571583,-75.936535,0,,,,,,,,106190,,,,,,,1988,2000,,spatial extent is in square kilometers,"""Bahamas Marine Mammal Research Organisation Opportunistic Sightings - OBIS SEAMAP"". (Available at http://www.iobis.org, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA,NA,NA,NA,NA
172,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - OBIS SEAMAP,Marine,Temperate,All,"Cetaceans, seabirds and turtles",,35.309266,-24.079175,0,,,,,,,,1579112,,1,year,1,year,,1988,2008,,spatial extent is in square kilometers,"M. Machete, R. S. Santos, Azores Fisheries Observer Program (POPA): A case study of the multidisciplinary use of observer data.  Proceedings of the 5th International Fisheries Observer Conference, Victoria, Canada. T. A. McVea, S. J. Kennelly (Ed) 114-116 (2007).","T. Morato, D. A. Varkey, C. Damaso, M. Machete, M. Santos, R. Prieto, R. S. Santos, T. J. Pitcher, Evidence of a seamount effect on aggregating visitors. Marine Ecology Progress Series, 357: 23-32 (2008).","P. Amorim, M. Figueiredo, M. Machete, T. Morato, A. Martins, R. S. Santos, Spatial variability of seabird distribution associated with environmental factors: a case study of marine Important Bird Areas in the Azores. ICES Journal of Marine Science, 66: 29-40 (2009).","""POPA cetacean, seabird, and sea turtle sightings in the Azores area 1998-2009 - OBIS SEAMAP"". (Available at http://www.iobis.org, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA,NA
173,Y,Y,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Japan,Marine,Tropical/Temperate,Invertebrate,Invertebrate,,5.0028992,124.3343,1,,,,,,,,6059632,,1,year,1,year,,1996,2012,Observational,spatial extent is in square kilometers,"""Marine Biological Sample Database, JAMSTEC"" (OBIS_JAPAN). (Available at http://www.godac.jamstec.go.jp/bio-sample/index_e.html, accessed 2012).",NA,NA,NA,NA,NA,NA
176,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Temperate,Plankton,Phytoplankton and zooplankton,,44.555,-60.424999,0,,,,,,,,945329,,,,,,,1998,2010,,spatial extent is in square kilometers,"M. K. Kennedy, J. A. Spry, ""Atlantic Zone Monitoring Program Maritimes Region plankton datasets"". In: Fisheries and Oceans Canada - BioChem archive. OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2011). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
178,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Temperate,Fish,Mostly fish and some Invertebrate,,53.125599,-141.4296,0,,,,,,,,652347,,1,year,1,year,,1963,2007,,spatial extent is in square kilometers,"J. A. Boutillier, ""Pacific Shrimp Trawl Survey"". In: ShrimpTrawl Bio database, Fisheries and Oceans Canada PBS Shellfish Data Unit. OBIS Canada Digital Collections, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2007). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
180,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Polar/Temperate,Fish,Groundfish,,37.434999,-46.375,0,,,,,,,,7229693,,1,year,1,year,,1970,1995,,spatial extent is in square kilometers,"""East Coast North America Strategic Assessment Project, Groundfish Atlas for the East Coast of North America"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
182,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Temperate,All,"Chromista, fish and Invertebrate",,47.389734,-62.87117,0,,,,,,,,167455,,1,year,1,year,,1988,2009,,spatial extent is in square kilometers,"E. J. Wade, ""Snow crab research trawl survey database (Southern Gulf of St. Lawrence, Gulf region, Canada) from 1988 to 2010"". OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2011). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
183,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Temperate,Invertebrate,Invertebrate,,43.662792,-63.244329,0,,,,,,,,621101,,,,,,,1999,2011,,spatial extent is in square kilometers,"J. M. Tremblay, B. Branton, ""DFO Maritimes Research Vessel Trawl Surveys Invertebrate"". OBIS Canada Digital Collections, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2007). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
184,Y,N,NA,,NA,Public,OBIS (Ocean Biogeographic Information System) - Canada,Marine,Polar/Temperate,Invertebrate,Invertebrate and some fish,,67.408991,-67.826576,0,,,,,,,,3561893,,,,,,,2006,2010,,spatial extent is in square kilometers,"T. Siferd, ""Central and Arctic Multi-Species Stock Assessment Surveys. OBIS Canada Digital Collections (2010)"". Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (OBIS Canada). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
187,Y,N,NA,,NA,Public,OBIS  - NOAA-NBI (National Oceanic and Atmospheric Administration - National Benthos Inventory),Marine,Tropical/Temperate,Benthos,Benthos,,36.02781,-123.53286,0,,,,,,,,2468879,,1,year,1,year,,1991,2006,,spatial extent is in square kilometers,"""National Benthos Infaunal Database (NBID)"", NOAA/NOS/NCCOS/CCEHBR/Coastal Ecology Program. NOAA's Ocean Service, National Centers for Coastal Ocean Science (NCCOS) (2003). (Available at https://data.noaa.gov/dataset/national-Benthos-infaunal-database-nbid, accessed 2012).",NA,NA,NA,NA,NA,NA
189,Y,N,NA,,NA,Public,OBIS  - NOAA-CCMA (National Oceanic and Atmospheric Administration - Center for Coastal Monitoring and Assessment),Marine,Tropical,Fish,Fish,,18.308015,-64.746758,0,,,,,,,,182,,1,year,1,year,,2001,2010,,spatial extent is in square kilometers,"""St. John, USVI Fish Assessment and Monitoring Data (2002 - Present)"", Silver Spring, MD Publisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team (2007).  (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
190,Y,N,NA,,NA,Public,OBIS  - NOAA-CCMA (National Oceanic and Atmospheric Administration - Center for Coastal Monitoring and Assessment),Marine,Tropical,Fish,Fish,,17.755365,-64.592091,0,,,,,,,,126,,1,year,1,year,,2001,2010,,spatial extent is in square kilometers,"""St. Croix, USVI Fish Assessment and Monitoring Data (2002 - Present)"", Silver Spring, MDPublisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team (2007).  (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
191,Y,N,NA,,NA,Public,OBIS - OBIS USA - NEFSC (Northeast Fisheries Science Center),Marine,Temperate,Invertebrate,Invertebrate,,36.667,-65.533501,0,,,,,,,,1789437,,,,,,,1956,1989,,spatial extent is in square kilometers,"""NEFSC Benthos Database (OBIS-USA)"", Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce (2010). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
192,N,N,2,,NA,Public,OBIS (Ocean Biogeographic Information System) - OBIS Australia,Marine,Polar/Temperate,Mammals,Whales,,-62.5,80,0,,,,,,,,12743839,,,,,,,1932,1980,,spatial extent is in square kilometers,"""Whale Catches in Southern Ocean"", OBIS - Australian Antarctic Data Centre. (Available at http://www.iobis.org, accessed 2013).",NA,NA,NA,NA,NA,NA
196,Y,N,NA,,NA,Public,SOTEAG,Marine,Temperate,Benthos,Benthos and Invertebrate,Scotland,60.47139,-1.35133,0,,,,,,,,,,1,year,1,year,,1976,2012,,,"J. J. Moore, C. M. Howson, ﾋﾨﾫﾋﾨﾫ_Survey of the rocky shores in the region of Sullom Voe, Shetland, A report to SOTEAG from Aquatic Survey & Monitoring Ltdﾋﾨﾫﾋﾨﾫ_, Cosheston, Pembrokeshire. 29 pp.(Available at http://www.soteag.org.uk, accessed 2013).",,,,,,
197,Y,N,NA,,NA,Public,DATRAS - online database of trawl surveys,Marine,Temperate,Fish,Fish,,56.75225,-6.9619,0,,,,,,,,520796,,1,year,1,year,,1985,2013,,spatial extent is in square kilometers,"""Scottish West Coast Survey For Commercial Fish Species 1985-2013"". (Available at https://datras.ices.dk, accessed 2013).",NA,NA,NA,NA,NA,NA
198,Y,N,NA,,NA,Public,DATRAS - online database of trawl surveys,Marine,Temperate,Fish,Fish,,56.349,17.045,0,,,,,,,,648610,,1,year,1,year,,1991,2013,,spatial extent is in square kilometers,"""ICES Baltic International Trawl Survey For Commercial Fish Species (1991 - 2013)"". (Available at https://datras.ices.dk, accessed 2013).",NA,NA,NA,NA,NA,NA
200,Y,Y,NA,,NA,Public,OBIS - OBIS USA - NEFSC (Northeast Fisheries Science Center),Marine,Temperate,Invertebrate,Invertebrate,,36.667,-65.533501,,,,,,,,,1789437,,,,,,,1900,1978,,spatial extent is in square kilometers,"""NEFSC Benthos Database (OBIS-USA)"", Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce (2010). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA,NA
201,N,N,1,Long Term Monitoring of Kelp Forest ,,,,Marine,Temperate,Fish,Fish,"Channel Islands, CA",,,,,,,,,,,,,,,,,,,,,Sites also include other sites along Pacific Coast (e.g. Pt. Lobos),PISCO,,,,,,
202,N,N,1,Long Term Monitoring of Kelp Forest Fish: larvae,,,,Marine,Temperate,Fish,Fish,"Channel Islands, CA",,,,,,,,,,,,,,,,,,,,,,Casel+Z70:Z112le et al. 2010 Bulletin of Marine Sciences,,,,,,
203,N,N,2,California Cooperative Fisheries Institute (CALCOFI) ,,,,Marine,Temperate,Plankton,Plankton,,,,,,,,,,,,,,,,,,,,,,"Dataset goes back to the 1950s, demonstrates strong ENSO effect",,,,,,,
204,N,N,1,NC Dept of Marine Fisheries Fish Seine Survey (Red drum?),,,,Marine,Temperate,Fish,Fish,Coastal NC,,,,,,,,,,,,,,,,,,1982,2013,,6 regions of NC coast,,,,,,,
205,N,N,1,Beaufort Bridge Net larval Fish sampling,,,,Marine,Temperate,Fish,Fish,,,,,,,,,,,,,,,,,,,1986,present,,poster at ECU showed flattish temporal occupancy distribution,,contact: Todd Ellison,,,,,
206,N,N,2,Gotelli Long-term Fish dataset,,,,Aquatic,Temperate,Fish,Fish,,,,,,,,,,,,,,,,,,,,,,"Fish data is from Grossman et al 1982, insects from KBS LTER",Gotelli et al 2010.pdf,,,,,,
207,N,N,2,,,,,Terrestrial,Polar,Plant,Plant,"Arctic LTER, AK",,,,,,,,,,,,,,,,,,,,,20 years of data. Soil data available,Shaver and Chapin 1991,,,,,,
208,Y,Y,NA,Landis Long-term insect dataset,NA,Public,http://lter.kbs.msu.edu/datatables/67,Terrestrial,Temperate,Insect,Insect,"Kellogg Biological Station, MI",,,1,,,,,,,,Local,,1,week,,,,1989,2013,Experimental,These data are used in Gotelli et al. 2010,Landis and Gage 2014,,,,,,
209,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Carpinteria salt marsh, CA",,,,,,,,,,,,,,,,,,,,,7 years of data. No soil data available,Cleland et al. 2008,,,,,,
210,Y,Y,NA,,,,,Terrestrial,Temperate,Plant,Plant,"Cedar Creek LTER, MN",,,1,,,,,,,,,,1,year,1,year,,1982,2011,,"30 years of data. Soil data available. Reminder! This is an experiment, likely only the control will be useful.",Tilman 1987,,,,,,
211,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Central Plains Exptl Range, CO",,,,,,,,,,,,,,,,,,,,,14 years of data. No soil data available,Chu et al. 2013,,,,,,
212,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Channel Islands, CA",,,,,,,,,,,,,,,,,,,,,17 years of data. No soil data available,Johnson & Rodriguez 2001,,,,,,
213,Y,N,NA,Long-term mapped quadrats from Kansas prairie: demographic information for herbaceaous Plant. Ecology 88:2673.,EA_adler2007,Public,http://esapubs.org/archive/ecol/E088/161/,Terrestrial,Temperate,Plant,herbaceous,"Fort Hays, KS",38.8,-99.3,,1,m2,,,,stations,,Local,,1,year,1,year,,1932,1972,Observational,No soil data available,Adler et al. 2007,,,,,,
214,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Jasper Ridge, CA",,,,,,,,,,,,,,,,,,,,,8 years of data. Soil data available,Zavaleta et al. 2003,,,,,,
215,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Jornada LTER, NM",,,,,,,,,,,,,,,,,,,,,32 years of data. No soil data available,"Nelson 1934, Huenneke et al. 2001",,,,,,
216,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Kellogg Biological Station, MI",,,,,,,,,,,,,,,,,,,,,23 years of data. Soil data available,Huberty et al. 1998,,,,,,
217,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Konza Prairie LTER, KS",,,,,,,,,,,,,,,,,,,,,25 years of data. Soil data available,Gibson & Hulbert 1987,,,,,,
218,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Lac Croche, Quebec",,,,,,,,,,,,,,,,,,,,,9 years of data. Soil data available,Paquette et al. 2007,,,,,,
219,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"McLaughlin Reserve, CA",,,,,,,,,,,,,,,,,,,,,10 years of data. Soil data available,Elmendorf & Harrison 2011,,,,,,
220,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Niwot Ridge LTER, CO",,,,,,,,,,,,,,,,,,,,,11 years of data. Soil data available,Theodose & Bowman 1997,,,,,,
221,N,N,2,,,,http://esapubs.org/archive/ecol/E090/118/metadata.htm,Terrestrial,Temperate,Plant,Plant,"Portal, AZ",,,,,,,,,,,,,,,,,,1977,present,,30 years of data. No soil data available,Ernest et al. 2009,,,,,,
222,N,N,2,,,,,Terrestrial,Temperate,Plant,Plant,"Sagebrush Steppe, ID",,,,,,,,,,,,,,,,,,,,,35 years of data. No soil data available,Zachmann et al. 2010,,,,,,
223,Y,Y,NA,"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (2006-2009)",EA_lightfoot2011,Public,,Terrestrial,Temperate,Plant,Plant,"Sevilleta LTER, NM",,,1,,,,,,,,Local,,0.25,year,,,,1995,2009,Experimental,14 years of data. Soil data available,Baez et al. 2006,,,,,,
224,N,N,2,One hundred and six years of population and community dynamics of Sonoran Desert Laboratory perennials. Ecology 94:976. http://dx.doi.org/10.1890/12-1164.1,,Public,http://esapubs.org/archive/ecol/E094/083/,Terrestrial,Temperate,Plant,Plant,"Sonoran Desert, AZ",,,,,,,,,,,Local,,NA,irregular,,,,1906,2012,,"Seems like a lot of years, but the sampling was pretty irregular. I'm not entirely sure this will be useful, or at the very least easy to work with (as it appears most of the occurrence info is in map form).",Rodriguez-Buritica et al. 2013,,,,,,
225,Y,N,NA,,,,,Terrestrial,Temperate,Plant,Plant,"Tall Grass Prairie Preserve, OK",,,,,,,,,,,,,1,year,,,,,,,12 years of data. Soil data available,McGlinn et al. 2010,,,,,,
226,Y,Y,NA,Eastern Wood Breeding Bird Data,NA,Public,http://www.Planta.cn/forum/files_Planta/macroecology_214.pdf,Terrestrial,Temperate,Bird,Bird,"Eastern Wood, Surrey, Great Britain",51.297,-0.38,,,,,,,,,,,1,year,,,,1949,1979,Observational,"Source is a PDF of a book (Gaston and Blackburn 2000, Pattern and Process in Macroecology), see page 357 of print version, page 370 of PDF","Beven 1976, Williamson 1989",,,,,,
227,N,N,1,Breeding Bird Survey,,Public,,Terrestrial,Temperate,Bird,Bird,,,,,,,,,,,,,,,,,,,,,,20+ years,,,,,,,
228,Y,Y,NA,Hubbard Brook LTER,NA,Public,,Terrestrial,Temperate,Bird,Bird,Hubbard Brook LTER New Hampshire,43.95,-71.745,,10,ha,,,,,,Local,,1,year,,,,1969,2010,Observational,14-35 years,count,"Holmes, RT, S Sillet, N Rodenhouse, FW Sturges, TW Sherry. 012. Bird Abundances at Hubbard Brook (1969-2010) and on three replicate plots (1986-2000) in the White Mountain National Forest. Durham, NH. Hubbard Brook Data Archive [Database]. http://hubbardbrook.org/data/dataset.php?id=81 (1 Oct 2014) Mountain National Forest",,,,,
229,N,N,1,Christmas Bird Count,,Upon request,,Terrestrial,Temperate,Bird,Bird,,,,,,,,,,,,,,,,,,,,,,20+ years,,,,,,,
230,N,N,1,Ammarnas,,Public,,Terrestrial,,Bird,Bird,,,,,,,,,,,,,,,,,,,,,,20 years,Enemar et al 1984,,,,,,
231,N,N,3,Konza LTER,,Public,,Terrestrial,Temperate,Mammal,Mammal,,,,,,,,,,,,,,,,,,,,,,16 years,,,,,,,
232,Y,Y,NA,Sevilleta LTER mammals,,Public,,Terrestrial,Temperate,Mammal,Mammal,,,,,,,,,,,,,,,,,,,,,,10-20 years, Ernest et al. 2000,,,,,,
233,N,N,0,Lake Manyara Megaherbivores,,Public,http://www.jstor.org/stable/4219351?seq=1#page_scan_tab_contents,Terrestrial,Temperate,Mammal,Mammal,"Lake Manyara National Park, Tanzania",3.5,35.75,0,100,km2,100,km2,,counts,,100,km2,,,,,,,,,25 years, Prins and Douglas-Hamilton 1990,,,,,,
234,Y,Y,NA,Powdermill,,Public,http://ecologicaldata.org/wiki/powdermill-biological-station-small-mammal-database,Terrestrial,Temperate,Mammal,Mammal,"Powdermill Biological Station, Pennsylvania, USA",40.17074,-79.26017761,,10,m,,,,,,1 ha,,0.5,month,0.25,year,,1979,1999,,20+ years,Merritt J. 1999. Long Term Mammal Data from Powdermill Biological Station 1979-1999 knb-lter-vcr.67.17 (http://tropical.lternet.edu/knb/metacat/knb-lter-vcr.67.17/lter),,,,,,
235,N,N,2,Plant and small-Mammal responses to large-herbivore exclusion in an African savanna: five years of the UHURU experiment. Ecology 95:787.,,Public,http://esapubs.org/archive/ecol/E095/064/,Terrestrial,Tropical,Plant,Plant,"Mpala research center, Kenya",,,,,,,,,,,Local,,1,year,,,,1998,2013,Experimental,Mammal exclosure experiment,Kartzinel et al. 2014,,,,,,
236,Y,Y,NA,Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977.,,Public,http://esapubs.org/archive/ecol/E094/084/metadata.php,Terrestrial,Temperate,Mammal,Mammal,"Bosque Fray Jorge National Park, Chile",,,,,,,,,,,Local,,1,month,,,,1989,2005,Experimental,Small-Mammal data collected with predator exclosure study. May show ENSO effect,Kelt et al. 2013,,,,,,
237,Y,Y,3,Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977. shrub and herbaceous Plant.,,Public,http://esapubs.org/archive/ecol/E094/084/metadata.php,Terrestrial,Temperate,Plant,Plant,"Bosque Fray Jorge National Park, Chile",,,,,,,,,,,Local,,1,month,,,,1989,2005,Experimental,Plant data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect,Kelt et al. 2013,,,,,,
238,Y,Y,NA,Long-term monitoring of Mammals in the face of biotic and abiotic influences at a semiarid site in north-central Chile. Ecology 94:977. shrub and herbaceous Plant.,,Public,http://esapubs.org/archive/ecol/E094/084/metadata.php,Terrestrial,Temperate,Plant,Plant,"Bosque Fray Jorge National Park, Chile",,,1,,,,,,,,Local,,0.33,year,,,,1989,2002,Experimental,"Seed data collected with predator exclosure study. I used the annuals dataset. May show ENSO effect.  Date listed as first of each month, but data only provided month; first of month added to allow for date object format.",Kelt et al. 2013,,,,,,
239,Y,N,NA,Marine microPlankton diversity database,,Public,http://esapubs.org/archive/ecol/E094/149/,Marine,Global,Plankton,Plankton,Predominantly North and South Atlantic,,,,,,,,,,,Global,,,,,,,1992,2002,,,Sal et al. 2013,,,,,,
240,N,N,0,Antarctic breeding Bird survey,,Public,http://esapubs.org/archive/ecol/E094/243/,Marine,Polar,Bird,Bird,Antarctica,,,,,,,,,,,,,,,,,,1994,2013,Observational,This may not be that useful because there are only 7 species present.,Lynch et al. 2013,,,,,,
241,Y,Y,NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.",EA_kenner2013,Public,http://esapubs.org/archive/ecol/E094/244/#data,Marine,Temperate,Benthos,Benthos,San Nicolas Island,,,,,,,,,,,Local,,0.5,year,1,year,,1980,2011,Observational,Includes a big ENSO event and reintroduction of sea otters,Kenner et al. 2013,,,,,,
242,Y,Y,NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.",EA_kenner2013,Public,http://esapubs.org/archive/ecol/E094/244/#data,Marine,Temperate,Fish,Fish,San Nicolas Island,,,,,,,,,,,Local,,0.5,year,1,year,,1980,2011,Observational,"Benthos Fish. Includes a big ENSO event and reintroduction of sea otters. Dataset 243 is from the same site, but higher up in the water column.",Kenner et al. 2013,,,,,,
243,Y,Y,NA,"A multi-decade time series of kelp forest community structure at San Nicolas Island, California (USA). Ecology 94:2654.",EA_kenner2013,Public,http://esapubs.org/archive/ecol/E094/244/#data,Marine,Temperate,Fish,Fish,San Nicolas Island,,,,,,,,,,,Local,,0.5,year,1,year,,1980,2011,Observational,"This is the mid-water Fish for the Kenner study, likely should not be considered independent of Dataset 242, which is at the same site but lower in the water column. ",Kenner et al. 2013,,,,,,
244,Y,Y,NA, A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.,EA_kushner2013,Public,http://esapubs.org/archive/ecol/E094/245/,Marine,Temperate,Benthos,Benthos,California Channel Islands,,,,,,,,,,,Local,,,,,,,1982,2011,Observational,,Kushner et al. 2013,,,,,,
245,N,N,1,A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.,EA_kushner2013,Public,http://esapubs.org/archive/ecol/E094/245/,Marine,Temperate,Fish,Fish,California Channel Islands,,,,,,,,,,,Local,,,,,,,1982,2011,Observational,Transect count,Kushner et al. 2013,,,,,,
246,Y,Y,NA,A multi-decade time series of kelp forest community structure at the California Channel Islands. Ecology 94:2655.,EA_kushner2013,Public,http://esapubs.org/archive/ecol/E094/245/,Marine,Temperate,Fish,Fish,California Channel Islands,,,,,,,,,,,Local,,,,,,,1982,2011,Observational,Roving Fish count. Likely should not be considered independent of COM02S,Kushner et al. 2013,,,,,,
247,N,N,3,Mosquitoes of North America with emphasis in the midwestern United States: long-term occurrence patterns. Ecology 94:1433.,,Public,http://esapubs.org/archive/ecol/E094/126/,Terrestrial,Temperate,Insect,Insect,North America,,,,,,,,,,,Continental,,NA,irregular,,,,1969,2009,Observational,"Mosquitoes! There are a lot of records, but much of these data will likely not be usable .",Hellmann et al. 2013,,,,,,
248,N,N,1,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,EA_reed2012,Public,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sbc.17.27,Marine,Temperate,Fish,Fish,Santa Barbara coast and Channel Islands,,,,,,,,,,,Local,,1,year,1,year,,2000,2012,Observational,,Reed 2013,,,,,,
249,Y,Y,NA,North Temperate Lakes LTER: Fish Abundance 1981-current,EA_NTL2012,Public,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-ntl.7.10,Aquatic,Temperate,Fish,Fish,North Temperate Lake LTER,,,,,,,,,,,Local,,0.5,year,1,year,,1981,2012,Observational,,NTL LTER 2012,,,,,,
250,Y,Y,NA,Stream fish assemblage stability in a southern Appalachian stream at the Coweeta Hydrologic Laboratory from 1984 to 1995,EA_grossman2007,Public,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cwt.3047.13,Aquatic,Temperate,Fish,Fish,"Coweeta Long Term Ecological Research Program, NC",,,,,,,,,,,Local,,0.5,month,,,,1984,1995,Observational,,Coweeta LTER 2007,,,,,,
251,Y,N,NA,Antarctica seabird census,EA_fraser2014,Public,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-pal.100.1,Marine,Polar,Bird,Bird,Antarctica,,,,,,,,,,,Regional,,1,year,1,year,,1993,2011,Observational,Counts from ships. Count data includes mammal observations.,,,,,,,
252,Y,Y,NA,Sevilleta LTER arthropod data,EA_lightfoot2010,Public,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-sev.29.175390,Terrestrial,Temperate,Arthropod,Arthropod,"Sevilleta LTER, NM",34.331,-106.376,,,,,,,,,Local,,0.5,month,1,year,,1992,2004,Observational,One of the sites ends in 2001 (another starts up then but should be ignored),Lightfoot et al. 2010,,,,,,
253,Y,N,NA,Kellogg LTER seed bank,,Public,http://lter.kbs.msu.edu/datatables/23,Terrestrial,Temperate,Plant,Seed,"Michigan, USA",,,,,,,,,,,,,,,,,,1992,2002,,,,,,,,,
254,,,,Portal Rodents,Y,Public,http://esapubs.org/archive/ecol/E090/118/metadata.htm,Terrestrial,Temperate,Mammal,Rodents,"Portal, AZ",,,,,,,,,,,,,,,,,,,,,,Ernest et al. ,,,,,,
