"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
5930,5940,"Northern Cardinal","Pyrrhuloxia","Cardinalis cardinalis","Cardinalis sinuatus","Cardinalidae",35.5,47.25,"Cardinalis_sinuatus","Cardinalis_cardinalis"
5970,5940,"Blue Grosbeak","Pyrrhuloxia","Passerina caerulea","Cardinalis sinuatus","Cardinalidae",35.5,28.5,"Cardinalis_sinuatus","Passerina_caerulea"
6050,5380,"Lark Bunting","Chestnut-collared Longspur","Calamospiza melanocorys","Calcarius ornatus","Emberizidae",19,38,"Calcarius_ornatus","Calamospiza_melanocorys"
6120,6160,"Cliff Swallow","Bank Swallow","Petrochelidon pyrrhonota","Riparia riparia","Hirundinidae",15,22,"Riparia_riparia","Petrochelidon_pyrrhonota"
6130,6150,"Barn Swallow","Violet-green Swallow","Hirundo rustica","Tachycineta thalassina","Hirundinidae",14,17.5,"Tachycineta_thalassina","Hirundo_rustica"
6140,6160,"Tree Swallow","Bank Swallow","Tachycineta bicolor","Riparia riparia","Hirundinidae",15,20,"Riparia_riparia","Tachycineta_bicolor"
6170,6150,"Northern Rough-winged Swallow","Violet-green Swallow","Stelgidopteryx serripennis","Tachycineta thalassina","Hirundinidae",14,16,"Tachycineta_thalassina","Stelgidopteryx_serripennis"
6220,7030,"Loggerhead Shrike","Northern Mockingbird","Lanius ludovicianus","Mimus polyglottos","Mimidae",49,47,"Mimus_polyglottos","Lanius_ludovicianus"
6240,6260,"Red-eyed Vireo","Philadelphia Vireo","Vireo olivaceus","Vireo philadelphicus","Vireonidae",12,15.5,"Vireo_philadelphicus","Vireo_olivaceus"
6270,6291,"Warbling Vireo","Plumbeous Vireo","Vireo gilvus","Vireo plumbeus","Vireonidae",17,15,"Vireo_plumbeus","Vireo_gilvus"
6270,6292,"Warbling Vireo","Cassin's Vireo","Vireo gilvus","Vireo cassinii","Vireonidae",17,15,"Vireo_cassinii","Vireo_gilvus"
