AOU,Foraging,Trophic Group,Source,Notes
6780,ground glean,insectivore,The Birder's Handbook,
6790,foliage glean,insectivore,The Birder's Handbook,
6800,foliage glean,insectivore,The Birder's Handbook,
6810,foliage glean,insectivore,The Birder's Handbook,
6830,foliage glean,insct/om,The Birder's Handbook,
6840,foliage glean,insectivore,The Birder's Handbook,
6850,foliage glean,insectivore,The Birder's Handbook,
6860,hover/glean,insectivore,The Birder's Handbook,
6870,hover/glean,insectivore,The Birder's Handbook,
6880,foliage glean,insectivore,The Birder's Handbook,
6882,ground glean,insct/om,The Birder's Handbook,
6883,ground glean,insct/om,The Birder's Handbook,
6900,foliage glean,insectivore,The Birder's Handbook,
6970,ground glean,insectivore,The Birder's Handbook,
7000,ground glean,insectivore,The Birder's Handbook,
7010,dipping,aquatic invertivore,The Birder's Handbook,modified by AH 7/07
7020,ground glean,insectivore,The Birder's Handbook,
7030,ground glean,insectivore,The Birder's Handbook,
7031,ground glean,insectivore,JG,
7040,ground glean,insct/om,The Birder's Handbook,
7050,ground glean,omnivore,The Birder's Handbook,
7060,ground glean,omnivore,The Birder's Handbook,
7070,ground glean,insectivore,The Birder's Handbook,
7080,ground glean,insectivore,The Birder's Handbook,
7100,ground glean,insectivore,The Birder's Handbook,
7110,ground glean,insectivore,The Birder's Handbook,
7120,ground glean,insectivore,The Birder's Handbook,
7130,ground glean,insectivore,The Birder's Handbook,
7150,ground glean,insectivore,The Birder's Handbook,
7170,ground glean,insectivore,The Birder's Handbook,
7180,ground glean,insectivore,The Birder's Handbook,
7190,ground glean,insectivore,The Birder's Handbook,
7210,ground glean,insectivore,The Birder's Handbook,
7220,ground glean,insectivore,The Birder's Handbook,
7240,ground glean,insectivore,The Birder's Handbook,
7250,ground glean,insectivore,The Birder's Handbook,
7260,bark glean,insectivore,The Birder's Handbook,
7270,bark glean,insectivore,The Birder's Handbook,
7280,bark glean,insectivore,The Birder's Handbook,
7290,bark glean,insectivore,The Birder's Handbook,
7300,bark glean,insectivore,The Birder's Handbook,
7310,foliage glean,insectivore,The Birder's Handbook,
7320,foliage glean,insct/om,The Birder's Handbook,
7330,foliage glean,insectivore,The Birder's Handbook,
7331,foliage glean,insct/om,The Birder's Handbook,
7340,foliage glean,insectivore,The Birder's Handbook,
7350,foliage glean,insectivore,The Birder's Handbook,
7360,foliage glean,insectivore,The Birder's Handbook,
7370,foliage glean,insectivore,The Birder's Handbook,
7380,foliage glean,insectivore,The Birder's Handbook,
7400,foliage glean,insectivore,The Birder's Handbook,
7410,foliage glean,insectivore,The Birder's Handbook,
7420,foliage glean,insectivore,The Birder's Handbook,
7430,foliage glean,insectivore,The Birder's Handbook,
7460,foliage glean,insectivore,The Birder's Handbook,
7480,foliage glean,insectivore,The Birder's Handbook,
7490,foliage glean,insectivore,The Birder's Handbook,
7510,foliage glean,insectivore,The Birder's Handbook,
7520,foliage glean,insectivore,The Birder's Handbook,
7530,foliage glean,insectivore,The Birder's Handbook,forag-JG
7540,hawks,insectivore,The Birder's Handbook,
7550,ground glean,insectivore,The Birder's Handbook,
7560,ground glean,insectivore,The Birder's Handbook,
7570,ground glean,insectivore,The Birder's Handbook,
7571,ground glean,insectivore,JG,
7580,foliage glean,insectivore,The Birder's Handbook,
7590,ground glean,insectivore,The Birder's Handbook,
7610,ground glean,insct/om,The Birder's Handbook,
7630,ground glean,insct/om,The Birder's Handbook,
7650,ground glean,insectivore,The Birder's Handbook,
7660,hawks,insectivore,The Birder's Handbook,
7670,hawks,insectivore,The Birder's Handbook,
7680,swoops,insectivore,The Birder's Handbook,
10210,dabbles,omnivore,JG,
22860,ground glean,granivore,JG,
