AOU,Genus,Species,CommonName,Mass(g),added by AHH,Water Bird,Unknown,Notes
3990,Picoides,albolarvatus,White-headed Woodpecker,61.25,0,0,0,
4000,Picoides,arcticus,Black-backed Woodpecker,69.5,0,0,0,
4010,Picoides,tridactylus,Three-toed Woodpecker,65.75,0,0,0,
4020,Sphyrapicus,varius,Yellow-bellied Sapsucker,50,0,0,0,
4021,Sphyrapicus,nuchalis,Red-naped Sapsucker,46,0,0,0,
4022,Sphyrapicus,unk.,unid. Sapsucker,48.25,1,0,1,
4030,Sphyrapicus,ruber,Red-breasted Sapsucker,49,0,0,0,
4040,Sphyrapicus,thyroideus,Williamson's Sapsucker,48,0,0,0,
4050,Dryocopus,pileatus,Pileated Woodpecker,287.5,0,0,0,
4060,Melanerpes,erythrocephalus,Red-headed Woodpecker,72,0,0,0,
4070,Melanerpes,formicivorus,Acorn Woodpecker,83,0,0,0,
4080,Melanerpes,lewis,Lewis's Woodpecker,116,0,0,0,
4090,Melanerpes,carolinus,Red-bellied Woodpecker,67,0,0,0,
4100,Melanerpes,aurifrons,Golden-fronted Woodpecker,81.5,0,0,0,
4110,Melanerpes,uropygialis,Gila Woodpecker,65.25,0,0,0,
4120,Colaptes,auratus,Yellow-shafted Flicker,132.17,1,0,0,
4123,Colaptes,auratus,Northern Flicker,132.17,0,0,0,
4130,Colaptes,auratus,Red-shafted Flicker,132.17,1,0,0,
4140,Colaptes,auratus mearnsi,Gilded Flicker,111,1,0,0,
4151,Jynx,torquilla,Eurasian Wryneck,34,0,0,0,
4160,Caprimulgus,carolinensis,Chuck-will's-widow,120,0,0,0,
4161,Caprimulgus,ridgwayi,Buff-collared Nightjar,48,0,0,0,
4162,Caprimulgus,indicus,Jungle Nightjar,87,0,0,0,
4170,Caprimulgus,vociferus,Whip-poor-will,54,0,0,0,
4180,Phalaenoptilus,nuttallii,Common Poorwill,52,0,0,0,
4190,Nyctidromus,albicollis,Common Pauraque,53,0,0,0,
4200,Chordeiles,minor,Common Nighthawk,62,0,0,0,
4205,Unk.,sp.,unid. Nighthawk,65.17,1,0,1,
4210,Chordeiles,acutipennis,Lesser Nighthawk,50,0,0,0,
4220,Cypseloides,niger,Black Swift,46,0,0,0,
4221,Streptoprocne,zonaris,White-collared Swift,98,0,0,0,
4230,Chaetura,pelagica,Chimney Swift,24,0,0,0,
4240,Chaetura,vauxi,Vaux's Swift,17,0,0,0,
4241,Apus,pacificus,Fork-tailed Swift,45.25,0,0,0,
4242,Apus,apus,Common Swift,38,0,0,0,
4250,Aeronautes,saxatalis,White-throated Swift,32,0,0,0,
4260,Eugenes,fulgens,Magnificent Hummingbird,8,0,0,0,
4261,Heliomaster,constantii,Plain-capped Starthroat,7,0,0,0,
4270,Lampornis,clemenciae,Blue-throated Hummingbird,8,0,0,0,
4280,Archilochus,colubris,Ruby-throated Hummingbird,3.5,0,0,0,
4290,Archilochus,alexandri,Black-chinned Hummingbird,3.5,0,0,0,
4300,Calypte,costae,Costa's Hummingbird,3,0,0,0,
4310,Calypte,anna,Anna's Hummingbird,4.25,0,0,0,
4320,Selasphorus,platycercus,Broad-tailed Hummingbird,4,0,0,0,
4330,Selasphorus,rufus,Rufous Hummingbird,4,0,0,0,
4340,Selasphorus,sasin,Allen's Hummingbird,3.5,0,0,0,
4350,Atthis,heloisa,Bumblebee Hummingbird,2,0,0,0,
4360,Stellula,calliope,Calliope Hummingbird,2.75,0,0,0,
4370,Calothorax,lucifer,Lucifer Hummingbird,3,0,0,0,
4371,Calliphlox,evelynae,Bahama Woodstar,2,0,0,0,
4380,Amazilia,tzacatl,Rufous-tailed Hummingbird,5,0,0,0,
4381,Amazilia,beryllina,Berylline Hummingbird,4.75,0,0,0,
4390,Amazilia,yucatanensis,Buff-bellied Hummingbird,4,0,0,0,
4391,Amazilia,violiceps,Violet-crowned Hummingbird,5.75,0,0,0,
4402,,,unid. Hummingbird,3.56,1,0,1,
4410,Cynanthus,latirostris,Broad-billed Hummingbird,3,0,0,0,
4411,Pachyramphus,aglaiae,Rose-throated Becard,30,0,0,0,
4420,Tyrannus,savana,Fork-tailed Flycatcher,29,0,0,0,
4430,Tyrannus,forficatus,Scissor-tailed Flycatcher,43,0,0,0,
4440,Tyrannus,tyrannus,Eastern Kingbird,44,0,0,0,
4447,Tyrranus,unk.,unid. Kingbird,44.56,1,0,1,
4450,Tyrannus,dominicensis,Gray Kingbird,44,0,0,0,
4451,Tyrannus,crassirostris,Thick-billed Kingbird,56,0,0,0,
4452,Tyrannus,caudifasciatus,Loggerhead Kingbird,44,0,0,0,
4460,Tyrannus,melancholicus,Tropical Kingbird,37.5,0,0,0,
4461,Tyrannus,couchii,Couch's Kingbird,45,0,0,0,
4470,Tyrannus,verticalis,Western Kingbird,40,0,0,0,
4480,Tyrannus,vociferans,Cassin's Kingbird,46,0,0,0,
4490,Pitangus,sulphuratus,Great Kiskadee,61,0,0,0,
4500,Myiozetetes,similis,Social Flycatcher,28,0,0,0,
4510,Myiodynastes,luteiventris,Sulphur-bellied Flycatcher,45.9,1,0,0,
4520,Myiarchus,crinitus,Great Crested Flycatcher,34,0,0,0,
4530,Myiarchus,tyrannulus,Brown-crested Flycatcher,44,0,0,0,
4531,Myiarchus,nuttingi,Nutting's Flycatcher,23,0,0,0,
4540,Myiarchus,cinerascens,Ash-throated Flycatcher,27,0,0,0,
4550,Myiarchus,tuberculifer,Dusky-capped Flycatcher,20,0,0,0,
4551,Myiarchus,sagrae,La Sagra's Flycatcher,19,0,0,0,
4560,Sayornis,phoebe,Eastern Phoebe,20,0,0,0,
4570,Sayornis,saya,Say's Phoebe,21,0,0,0,
4580,Sayornis,nigricans,Black Phoebe,19,0,0,0,
4590,Contopus,borealis,Olive-sided Flycatcher,32,0,0,0,
4600,Contopus,pertinax,Greater Pewee,27,0,0,0,
4610,Contopus,virens,Eastern Wood-Pewee,14,0,0,0,
4620,Contopus,sordidulus,Western Wood-Pewee,13,0,0,0,
4630,Empidonax,flaviventris,Yellow-bellied Flycatcher,12,0,0,0,
4640,Empidonax,occidentalis,Cordilleran Flycatcher,10,1,0,0,
4641,Empidonax,difficilis,Pacific-slope Flycatcher,10,1,0,0,
4642,Empidonax,difficilis,Western Flycatcher,10,0,0,0,
4650,Empidonax,virescens,Acadian Flycatcher,13,0,0,0,
4660,Empidonax,traillii,Willow Flycatcher,13.25,0,0,0,
4661,Empidonax,alnorum,Alder Flycatcher,13,0,0,0,
4665,Empidonax,traillii,Willow Flycatcher,13.25,0,0,0,
4670,Empidonax,minimus,Least Flycatcher,10,0,0,0,
4679,Empidonax,unk.,unid. Empidonax,11.58,1,0,1,
4680,Empidonax,hammondii,Hammond's Flycatcher,10,0,0,0,
4689,Empidonax,unk.,Hammond's/Dusky Flycatcher,10,1,0,1,
4690,Empidonax,oberholseri,Dusky Flycatcher,10,0,0,0,
4691,Empidonax,wrightii,Gray Flycatcher,13,0,0,0,
4700,Empidonax,fulvifrons,Buff-breasted Flycatcher,8,0,0,0,
4710,Pyrocephalus,rubinus,Vermilion Flycatcher,14,0,0,0,
4720,Camptostoma,imberbe,Northern Beardless-Tyrannulet,7,0,0,0,
4730,Alauda,arvensis,Sky Lark,40.5,0,0,0,
4740,Eremophila,alpestris,Horned Lark,34.5,0,0,0,
4750,Pica,pica,Black-billed Magpie,177.5,0,0,0,
4760,Pica,nuttalli,Yellow-billed Magpie,158,0,0,0,
4770,Cyanocitta,cristata,Blue Jay,87,0,0,0,
4780,Cyanocitta,stelleri,Steller's Jay,128,0,0,0,
4790,Aphelocoma,coerulescens,Florida Scrub-Jay,80,0,0,0,
4810,Aphelocoma,californica,Western Scrub-Jay,96.25,0,0,0,
4811,Aphelocoma,coerulescens,Island Scrub-Jay,80,0,0,0,
4820,Aphelocoma,ultramarina,Mexican Jay,124,0,0,0,
4830,Cyanocorax,yncas,Green Jay,79,0,0,0,
4831,Cyanocorax,sanblasianus,San Blas Jay,109,0,0,0,
4840,Perisoreus,canadensis,Gray Jay,73,0,0,0,
4860,Corvus,corax,Common Raven,1207.5,0,0,0,
4865,Corvus,unk.,unid. Raven,865.88,1,0,1,
4870,Corvus,cryptoleucus,Chihuahuan Raven,524.25,0,0,0,
4880,Corvus,brachyrhynchos,American Crow,458,0,0,0,
4881,Corvus,unk.,unid. Crow,374.75,1,0,1,
4890,Corvus,caurinus,Northwestern Crow,391.5,0,0,0,
4900,Corvus,ossifragus,Fish Crow,274.75,0,0,0,
4903,Corvus,monedula,Eurasian Jackdaw,246,0,0,0,
4910,Nucifraga,columbiana,Clark's Nutcracker,135.75,0,0,0,
4920,Gymnorhinus,cyanocephalus,Pinyon Jay,103,0,0,0,
4930,Sturnus,vulgaris,European Starling,85,0,0,0,
4931,Acridotheres,cristatellus,Crested Myna,113,0,0,0,
4932,Acridotheres,tristis,Common Myna,56.5,0,0,0,
4940,Dolichonyx,orizivorus,Bobolink,28.75,0,0,0,
4950,Molothrus,ater,Brown-headed Cowbird,45,0,0,0,
4955,Molothrus,unk.,unid. Cowbird,48,1,0,1,
4960,Molothrus,aeneus,Bronzed Cowbird,60,0,0,0,
4961,Molothrus,bonariensis,Shiny Cowbird,39,0,0,0,
4970,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,64.5,1,0,0,
4980,Agelaius,phoeniceus,Red-winged Blackbird,53,0,0,0,
5000,Agelaius,tricolor,Tricolored Blackbird,59.25,0,0,0,
5001,Agelaius,humeralis,Tawny-shouldered Blackbird,37,0,0,0,
5010,Sturnella,magna,Eastern Meadowlark,102,0,0,0,
5011,Sturnella,neglecta,Western Meadowlark,112,0,0,0,
5012,Sturnella,unk.,unid. Meadowlark,107,1,0,1,
5020,Icterus,icterus,Troupial,72,0,0,0,
5030,Icterus,graduacauda,Audubon's Oriole,42,0,0,0,
5031,Icterus,gularis,Altamira Oriole,54.75,0,0,0,
5032,Icterus,pectoralis,Spot-breasted Oriole,45,0,0,0,
5040,Icterus,parisorum,Scott's Oriole,37,0,0,0,
5041,Icterus,wagleri,Black-vented Oriole,42,0,0,0,
5050,Icterus,cucullatus,Hooded Oriole,24,0,0,0,
5051,Icterus,pustulatus,Streak-backed Oriole,37,0,0,0,
5060,Icterus,spurius,Orchard Oriole,19.5,0,0,0,
5070,Icterus,galbula,Northern Oriole,34.25,0,0,0,
5077,Icterus,unk.,unid. Oriole,36.64,1,0,1,
5080,Icterus,bullockii,Bullock's Oriole,34.25,1,0,0,
5090,Euphagus,carolinus,Rusty Blackbird,63,0,0,0,
5100,Euphagus,cyanocephalus,Brewer's Blackbird,63,0,0,0,
5110,Quiscalus,quiscula,Common Grackle,127,0,0,0,
5120,Quiscalus,mexicanus,Great-tailed Grackle,154.5,0,0,0,
5130,Quiscalus,major,Boat-tailed Grackle,165.5,0,0,0,
5135,Quiscalus,unk.,Boat-tailed/Great-tailed Grackle,160,1,0,1,
5140,Hesperiphona,vespertina,Evening Grosbeak,59.25,0,0,0,
5141,Fringilla,montifringilla,Brambling,24,0,0,0,
5143,Fringilla,coelebs,Common Chaffinch,22.25,0,0,0,
5150,Pinicola,enucleator,Pine Grosbeak,56,0,0,0,
5170,Carpodacus,purpureus,Purple Finch,25,0,0,0,
5180,Carpodacus,cassinii,Cassin's Finch,27,0,0,0,
5190,Carpodacus,mexicanus,House Finch,21,0,0,0,
5195,Carpodacus,sp.,unid. Finch,24.33,1,0,1,Assigned mean mass of 3 Carpodacus spp.
5210,Loxia,curvirostra,Red Crossbill,39,0,0,0,
5220,Loxia,leucoptera,White-winged Crossbill,28,0,0,0,
5225,Loxia,unk.,unid. Crossbill,33.5,1,0,1,
5240,Leucosticte,arctoa,Rosy Finch,26.33,0,0,0,
5250,Leucosticte,atrata,Black Rosy-Finch,26.33,1,0,0,
5261,Carduelis,carduelis,European Goldfinch,16,0,0,0,
5262,Carduelis,sinica,Oriental Greenfinch,31,0,0,0,
5270,Carduelis,hornemanni,Hoary Redpoll,13,0,0,0,
5275,Carduelis,unk.,unid. Redpoll,13,1,0,1,
5280,Carduelis,flammea,Common Redpoll,13,0,0,0,
5290,Carduelis,tristis,American Goldfinch,13.25,0,0,0,
5300,Carduelis,psaltria,Lesser Goldfinch,10,0,0,0,
5310,Carduelis,lawrencei,Lawrence's Goldfinch,11.5,0,0,0,
5330,Carduelis,pinus,Pine Siskin,15,0,0,0,
5331,Serinus,canaria,Common Canary,8,0,0,0,
5332,Serinus,mozambicus,Yellow-fronted Canary,11,0,0,0,
5340,Plectrophenax,nivalis,Snow Bunting,42,0,0,0,
5350,Plectrophenax,hyperboreus,McKay's Bunting,55,0,0,0,
5351,Emberiza,rustica,Rustic Bunting,23,0,0,0,
5360,Calcarius,lapponicus,Lapland Longspur,27,0,0,0,
5370,Calcarius,pictus,Smith's Longspur,26.5,0,0,0,
5380,Calcarius,ornatus,Chestnut-collaredLongspur,19,0,0,0,
5390,Calcarius,mccownii,McCown's Longspur,23,0,0,0,
5400,Pooecetes,gramineus,Vesper Sparrow,27,0,0,0,
5420,Passerculus,sandwichensis,Savannah Sparrow,21.33,0,0,0,
5450,Ammodramus,bairdii,Baird's Sparrow,18,0,0,0,
5460,Ammodramus,savannarum,Grasshopper Sparrow,17,0,0,0,
5470,Ammodramus,henslowii,Henslow's Sparrow,13,0,0,0,
5480,Ammodramus,leconteii,Le Conte's Sparrow,13,0,0,0,
5490,Ammodramus,caudacutus,Saltmarsh Sharp-tailed Sparrow,19,0,0,0,
5491,Ammodramus,nelsoni,Nelson's Sharp-tailed Sparrow,19,1,0,0,
5500,Ammodramus,maritimus,Seaside Sparrow,23,0,0,0,
5520,Chondestes,grammacus,Lark Sparrow,29,0,0,0,
5540,Zonotrichia,leucophrys,White-crowned Sparrow,28.12,1,0,0,
5570,Zonotrichia,atricapilla,Golden-crowned Sparrow,29.8,1,0,0,
5580,Zonotrichia,albicollis,White-throated Sparrow,25.9,1,0,0,
5590,Spizella,arborea,American Tree Sparrow,20,0,0,0,
5600,Spizella,passerina,Chipping Sparrow,12,0,0,0,
5610,Spizella,pallida,Clay-colored Sparrow,12,0,0,0,
5620,Spizella,breweri,Brewer's Sparrow,11,0,0,0,
5630,Spizella,pusilla,Field Sparrow,13,0,0,0,
5650,Spizella,atrogularis,Black-chinned Sparrow,12,0,0,0,
5660,Junco,hyemalis,White-winged Junco,19.75,1,0,0,
5670,Junco,hyemalis,Slate-colored Junco,19.75,1,0,0,
5671,Junco,hyemalis,Oregon Junco,19.75,1,0,0,
5677,Junco,hyemalis,Dark-eyed Junco,19.75,0,0,0,
5690,Junco,hyemalis,Gray-headed Junco,19.75,1,0,0,
5700,Junco,phaeonotus,Yellow-eyed Junco,20,0,0,0,
5730,Amphispiza,bilineata,Black-throated Sparrow,14,0,0,0,
5740,Amphispiza,belli,Sage Sparrow,19,0,0,0,
5750,Aimophila,aestivalis,Bachman's Sparrow,19.5,0,0,0,
5760,Aimophila,botterii,Botteri's Sparrow,20,0,0,0,
5780,Aimophila,cassinii,Cassin's Sparrow,19,0,0,0,
5790,Aimophila,carpalis,Rufous-winged Sparrow,15,0,0,0,
5800,Aimophila,ruficeps,Rufous-crowned Sparrow,18.25,0,0,0,
5810,Melospiza,melodia,Song Sparrow,21.33,0,0,0,
5830,Melospiza,lincolnii,Lincoln's Sparrow,17,0,0,0,
5840,Melospiza,georgiana,Swamp Sparrow,17,0,0,0,
5850,Passerella,iliaca,Fox Sparrow,32,0,0,0,
5860,Arremonops,rufivirgatus,Olive Sparrow,24,0,0,0,
5861,Sicalis,flaveola,Saffron Finch,20,0,0,0,
5870,Pipilo,erythrophthalmus,Eastern Towhee,42,1,0,0,
5871,Pipilo,unk.,unid. Towhee,42.83,1,0,1,
5880,Pipilo,erythrophthalmus,Spotted Towhee,42,0,0,0,
5900,Pipilo,chlorurus,Green-tailed Towhee,29,0,0,0,
5910,Pipilo,fuscus,Canyon Towhee,44,0,0,0,
5911,Pipilo,crissalis,California Towhee,53.75,0,0,0,
5920,Pipilo,aberti,Abert's Towhee,46.25,0,0,0,
5922,Paroaria,coronata,Red-crested Cardinal,43,0,0,0,
5930,Cardinalis,cardinalis,Northern Cardinal,47.25,0,0,0,
5935,Cardinalis,unk.,Cardinal/Pyrrhuloxia,41.38,1,0,1,
5940,Cardinalis,sinuatus,Pyrrhuloxia,35.5,0,0,0,
5950,Pheucticus,ludovicianus,Rose-breasted Grosbeak,46,0,0,0,
5960,Pheucticus,melanocephalus,Black-headed Grosbeak,42.5,0,0,0,
5970,Guiraca,caerulea,Blue Grosbeak,28.5,0,0,0,
5971,Cyanocompsa,parellina,Blue Bunting,15,0,0,0,
5980,Passerina,cyanea,Indigo Bunting,15,0,0,0,
5990,Passerina,amoena,Lazuli Bunting,15.5,0,0,0,
6000,Passerina,versicolor,Varied Bunting,12,0,0,0,
6010,Passerina,ciris,Painted Bunting,16,0,0,0,
6030,Tiaris,bicolor,Black-faced Grassquit,10,0,0,0,
6032,Tiaris,olivacea,Yellow-faced Grassquit,9,0,0,0,
6040,Spiza,americana,Dickcissel,29,0,0,0,
6050,Calamospiza,melanocorys,Lark Bunting,38,0,0,0,
6070,Piranga,ludoviciana,Western Tanager,28,0,0,0,
6071,Piranga,bidentata,Flame-colored Tanager,36.5,0,0,0,
6080,Piranga,olivacea,Scarlet Tanager,29,0,0,0,
6090,Piranga,flava,Hepatic Tanager,38,0,0,0,
6100,Piranga,rubra,Summer Tanager,28,0,0,0,
6110,Progne,subis,Purple Martin,49,0,0,0,
6112,Progne,chalybea,Gray-breasted Martin,43,0,0,0,
6113,Progne,dominicensis,Caribbean Martin,40,0,0,0,
6120,Petrochelidon,pyrrhonota,Cliff Swallow,22,0,0,0,
6121,Petrochelidon,fulva,Cave Swallow,20,0,0,0,
6122,Petrochelidon,sp.,Cave/Cliff Swallow,21,1,0,1,Assigned mean mass of Cave and Cliff Swallows
6130,Hirundo,rustica,Barn Swallow,17.5,0,0,0,
6140,Tachycineta,bicolor,Tree Swallow,20,0,0,0,
6150,Tachycineta,thalassina,Violet-green Swallow,14,0,0,0,
6151,Tachycineta,cyaneoviridis,Bahama Swallow,18,0,0,0,
6152,Delichon,urbica,Common House-Martin,15,0,0,0,
6160,Riparia,riparia,Bank Swallow,15,0,0,0,
6170,Stelgidopteryx,serripennis,Northern Rough-winged Swallow,16,0,0,0,
6180,Bombycilla,garrulus,Bohemian Waxwing,56,0,0,0,
6190,Bombycilla,cedorum,Cedar Waxwing,32.5,0,0,0,
6200,Phainopepla,nitens,Phainopepla,24,0,0,0,
6210,Lanius,excubitor,Northern Shrike,66,0,0,0,
6211,Lanius,cristatus,Brown Shrike,28,0,0,0,
6220,Lanius,ludovicianus,Loggerhead Shrike,47,0,0,0,
6230,Vireo,altiloquus,Black-whiskered Vireo,18,0,0,0,
6240,Vireo,olivaceus,Red-eyed Vireo,15.5,0,0,0,
6250,Vireo,flavoviridis,Yellow-green Vireo,18,0,0,0,
6260,Vireo,philadelphicus,Philadelphia Vireo,12,0,0,0,
6270,Vireo,gilvus,Warbling Vireo,15,0,0,0,
6280,Vireo,flavifrons,Yellow-throated Vireo,18,0,0,0,
6290,Vireo,solitarius,Blue-headed Vireo,17,1,0,0,
6291,Vireo,plumbeus,Plumbeous Vireo,17,1,0,0,
6292,Vireo,cassinii,Cassin's Vireo,17,1,0,0,
6295,Vireo,solitarius,Solitary Vireo,17,0,0,0,
6300,Vireo,atricapillus,Black-capped Vireo,9,0,0,0,
6310,Vireo,griseus,White-eyed Vireo,11,0,0,0,
6320,Vireo,huttoni,Hutton's Vireo,12,0,0,0,
6330,Vireo,bellii,Bell's Vireo,9,0,0,0,
6340,Vireo,vicinior,Gray Vireo,13,0,0,0,
6350,Coereba,flaveola,Bananaquit,9,0,0,0,
6360,Mniotilta,varia,Black-and-white Warbler,11,0,0,0,
6370,Protonotaria,citrea,Prothonotary Warbler,15.75,0,0,0,
6380,Limnothlypis,swainsonii,Swainson's Warbler,19,0,0,0,
6390,Helmitheros,vermivorus,Worm-eating Warbler,13,0,0,0,
6410,Vermivora,pinus,Blue-winged Warbler,8,0,0,0,
6412,Vermivora,pinus x chrysoptera,Brewster's Warbler,8.75,1,0,0,Hybrid of Blue-winged and Golden-winged Warblers
6413,Vermivora,p. x c. backcross,Lawrence's Warbler,8.75,1,0,0,Backcross of Brewster's with one of the parental spp.
6420,Vermivora,chrysoptera,Golden-winged Warbler,9.5,0,0,0,
6430,Vermivora,luciae,Lucy's Warbler,7,0,0,0,
6440,Vermivora,virginiae,Virginia's Warbler,8,0,0,0,
6450,Vermivora,ruficapilla,Nashville Warbler,9,0,0,0,
6460,Vermivora,celata,Orange-crowned Warbler,9,0,0,0,
6470,Vermivora,peregrina,Tennessee Warbler,10.25,0,0,0,
6471,Vermivora,crissalis,Colima Warbler,10,0,0,0,
6480,Parula,americana,Northern Parula,9,0,0,0,
6490,Parula,pitiayumi,Tropical Parula,7,0,0,0,
6500,Dendroica,tigrina,Cape May Warbler,11,0,0,0,
6510,Peucedramus,taeniatus,Olive Warbler,11,0,0,0,
6520,Dendroica,petechia,Yellow Warbler,11.5,0,0,0,
6540,Dendroica,caerulescens,Black-throated Blue Warbler,10.75,0,0,0,
6550,Dendroica,coronata,Myrtle Warbler,12.38,1,0,0,
6556,Dendroica,coronata,Yellow-rumped Warbler,12.38,0,0,0,
6560,Dendroica,coronata,Audubon's Warbler,12.38,1,0,0,
6570,Dendroica,magnolia,Magnolia Warbler,9.5,0,0,0,
6580,Dendroica,cerulea,Cerulean Warbler,9.5,0,0,0,
6590,Dendroica,pensylvanica,Chestnut-sided Warbler,9.75,0,0,0,
6600,Dendroica,castanea,Bay-breasted Warbler,12.75,0,0,0,
6610,Dendroica,striata,Blackpoll Warbler,13,0,0,0,
6620,Dendroica,fusca,Blackburnian Warbler,10,0,0,0,
6630,Dendroica,dominica,Yellow-throated Warbler,9,0,0,0,
6640,Dendroica,graciae,Grace's Warbler,8,0,0,0,
6650,Dendroica,nigrescens,Black-throated Gray Warbler,8.5,0,0,0,
6660,Dendroica,chrysoparia,Golden-cheeked Warbler,10,0,0,0,
6670,Dendroica,virens,Black-throated Green Warbler,9,0,0,0,
6680,Dendroica,townsendi,Townsend's Warbler,9,0,0,0,
6685,Dendroica,unk.,Hermit/Townsend's Warbler,9.38,1,0,1,
6690,Dendroica,occidentalis,Hermit Warbler,9.75,0,0,0,
6700,Dendroica,kirtlandii,Kirtland's Warbler,14,0,0,0,
6710,Dendroica,pinus,Pine Warbler,12,0,0,0,
6720,Dendroica,palmarum,Palm Warbler,10,0,0,0,
6730,Dendroica,discolor,Prairie Warbler,8.25,0,0,0,
6740,Seiurus,aurocapillus,Ovenbird,19,0,0,0,
6750,Seiurus,noveboracensis,Northern Waterthrush,18,0,0,0,
6760,Seiurus,motacilla,Louisiana Waterthrush,21,0,0,0,
6770,Oporornis,formosus,Kentucky Warbler,14,0,0,0,
6780,Oporornis,agilis,Connecticut Warbler,15,0,0,0,
6790,Oporornis,philadelphia,Mourning Warbler,12.75,0,0,0,
6800,Oporornis,tolmiei,MacGillivray's Warbler,10,0,0,0,
6810,Geothlypis,trichas,Common Yellowthroat,10.58,0,0,0,
6821,Geothlypis,poliocephala,Gray-crowned Yellowthroat,15,0,0,0,
6830,Icteria,virens,Yellow-breasted Chat,26.5,0,0,0,
6840,Wilsonia,citrina,Hooded Warbler,10.75,0,0,0,
6850,Wilsonia,pusilla,Wilson's Warbler,7.5,0,0,0,
6860,Wilsonia,canadensis,Canada Warbler,11,0,0,0,
6870,Setophaga,ruticilla,American Redstart,9,0,0,0,
6880,Myioborus,pictus,Painted Redstart,8,0,0,0,
6881,Euthlypis,lachrymosa,Fan-tailed Warbler,15,0,0,0,
6882,Passer,domesticus,House Sparrow,27.75,0,0,0,
6883,Passer,montanus,Eurasian Tree Sparrow,22,0,0,0,
6890,Myioborus,miniatus,Slate-throated Redstart,10,0,0,0,
6900,Cardellina,rubrifrons,Red-faced Warbler,10,0,0,0,
6920,Basileuterus,culicivorus,Golden-crowned Warbler,11,0,0,0,
6921,Basileuterus,rufifrons,Rufous-capped Warbler,11,0,0,0,
6940,Motacilla,alba,White Wagtail,22.5,0,0,0,
6960,Motacilla,flava,Yellow Wagtail,15.58,0,0,0,
6961,Motacilla,cinerea,Gray Wagtail,17,0,0,0,
6970,Anthus,rubescens,American Pipit,21.5,0,0,0,
6981,Anthus,gustavi,Pechora Pipit,20,0,0,0,
7000,Anthus,spragueii,Sprague's Pipit,25,0,0,0,
7010,Cinclus,mexicanus,American Dipper,57.5,0,0,0,
7020,Oreoscoptes,montanus,Sage Thrasher,43.5,0,0,0,
7030,Mimus,polyglottos,Northern Mockingbird,49,0,0,0,
7031,Mimus,gundlachii,Bahama Mockingbird,67,0,0,0,
7040,Dumetella,carolinensis,Gray Catbird,37,0,0,0,
7050,Toxostoma,rufum,Brown Thrasher,69,0,0,0,
7060,Toxostoma,longirostre,Long-billed Thrasher,70,0,0,0,
7070,Toxostoma,curvirostre,Curve-billed Thrasher,79,0,0,0,
7080,Toxostoma,bendirei,Bendire's Thrasher,62,0,0,0,
7090,Toxostoma,cinereum,Gray Thrasher,64,0,0,0,
7100,Toxostoma,redivivum,California Thrasher,84,0,0,0,
7110,Toxostoma,lecontei,Le Conte's Thrasher,62,0,0,0,
7120,Toxostoma,crissale,Crissal Thrasher,63,0,0,0,
7130,Campylorhynchus,brunneicapillus,Cactus Wren,39,0,0,0,
7150,Salpinctes,obsoletus,Rock Wren,17,0,0,0,
7170,Catherpes,mexicanus,Canyon Wren,13,0,0,0,
7180,Thryothorus,ludovicianus,Carolina Wren,19,0,0,0,
7190,Thryomanes,bewickii,Bewick's Wren,10,0,0,0,
7210,Troglodytes,aedon,House Wren,10.5,0,0,0,
7220,Troglodytes,troglodytes,Winter Wren,10,0,0,0,
7240,Cistothorus,platensis,Sedge Wren,9,0,0,0,
7250,Cistothorus,palustris,Marsh Wren,11.75,0,0,0,
7260,Certhia,americana,Brown Creeper,8,0,0,0,
7261,Pycnonotus,jocosus,Red-whiskered Bulbul,27,0,0,0,
7262,Pycnonotus,cafer,Red-vented Bulbul,31,0,0,0,
7270,Sitta,carolinensis,White-breasted Nuthatch,21,0,0,0,
7280,Sitta,canadensis,Red-breasted Nuthatch,10,0,0,0,
7290,Sitta,pusilla,Brown-headed Nuthatch,10,0,0,0,
7300,Sitta,pygmaea,Pygmy Nuthatch,11,0,0,0,
7310,Parus,bicolor,Tufted Titmouse,22,0,0,0,
7315,Baeolophus,unk.,unid. Titmouse,20.13,1,0,1,
7320,Baeolophus,bicolor,Black-crested Titmouse,22,1,0,0,
7330,Parus,inornatus,Plain Titmouse,18.25,0,0,0,
7331,Baeolophus,griseus,Juniper Titmouse,18.25,1,0,0,
7332,Baeolophus,unk.,Juniper/Oak Titmouse,18.25,1,0,1,
7340,Parus,wollweberi,Bridled Titmouse,10,0,0,0,
7350,Parus,atricapillus,Black-capped Chickadee,11,0,0,0,
7351,Parus,unk.,unid. Chickadee,10.79,1,0,1,
7360,Parus,carolinensis,Carolina Chickadee,11,0,0,0,
7370,Parus,sclateri,Mexican Chickadee,11,0,0,0,
7380,Parus,gambeli,Mountain Chickadee,11.75,0,0,0,
7400,Parus,hudsonicus,Boreal Chickadee,10,0,0,0,
7410,Parus,rufescens,Chestnut-backed Chickadee,10,0,0,0,
7420,Chamaea,fasciata,Wrentit,15,0,0,0,
7421,Leiothrix,lutea,Red-billed Leiothrix,22,0,0,0,
7430,Psaltriparus,minimus,Bushtit,5,0,0,0,
7460,Auriparus,flaviceps,Verdin,7,0,0,0,
7461,Cettia,diphone,Japanese Bush-Warbler,15,0,0,0,
7470,Phylloscopus,borealis,Arctic Warbler,11,0,0,0,
